@relation dataset_day_18_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1125,85,85,29207,29292,-29149,143,-29,114,'byte_500'
'time_0',85,29178,29292,-29149,143,-29,114,27636,27750,'byte_10000'
'time_0',29292,-27607,143,-29,114,27636,27750,-22158,5592,'byte_500'
'time_0',143,-5478,114,27636,27750,-22158,5592,18350,23942,'byte_500'
'time_0',114,3808,27750,-22158,5592,18350,23942,5405,29347,'byte_500'
'time_0',27750,-23755,5592,18350,23942,5405,29347,-29130,217,'byte_500'
'time_1',5592,23725,23942,5405,29347,-29130,217,31960,32177,'byte_500'
'time_1',23942,-2830,29347,-29130,217,31960,32177,26462,58639,'byte_500'
'time_1',29347,-58422,217,31960,32177,26462,58639,-58639,0,'byte_500'
'time_1',217,32177,32177,26462,58639,-58639,0,63365,63365,'byte_500'
'time_1',32177,-4726,58639,-58639,0,63365,63365,-63365,0,'byte_500'
'time_1',58639,0,0,63365,63365,-63365,0,51222,51222,'byte_500'
'time_2',0,12143,63365,-63365,0,51222,51222,-18998,32224,'byte_500'
'time_2',63365,-32224,0,51222,51222,-18998,32224,-2923,29301,'byte_500'
'time_2',0,21921,51222,-18998,32224,-2923,29301,-29301,0,'byte_500'
'time_2',51222,32224,32224,-2923,29301,-29301,0,0,0,'byte_500'
'time_2',32224,29301,29301,-29301,0,0,0,29319,29319,'byte_500'
'time_2',29301,-29319,0,0,0,29319,29319,2899,32218,'byte_500'
'time_3',0,-32218,0,29319,29319,2899,32218,-32218,0,'byte_500'
'time_3',0,29319,29319,2899,32218,-32218,0,29,29,'byte_500'
'time_3',29319,32189,32218,-32218,0,29,29,-29,0,'byte_500'
'time_3',32218,0,0,29,29,-29,0,0,0,'byte_500'
'time_3',0,29,29,-29,0,0,0,32218,32218,'byte_500'
'time_4',29,-32218,0,0,0,32218,32218,-32218,0,'byte_500'
'time_4',0,0,0,32218,32218,-32218,0,0,0,'byte_10000'
'time_4',0,32218,32218,-32218,0,0,0,0,0,'byte_10000'
'time_4',32218,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_7',0,-32224,0,0,0,32224,32224,-6,32218,'byte_500'
'time_8',0,-32218,0,32224,32224,-6,32218,-32218,0,'byte_10000'
'time_8',0,32224,32224,-6,32218,-32218,0,0,0,'byte_10000'
'time_8',32224,32218,32218,-32218,0,0,0,29302,29302,'byte_10000'
'time_8',32218,-29302,0,0,0,29302,29302,2908,32210,'byte_10000'
'time_8',0,-32210,0,29302,29302,2908,32210,-32210,0,'byte_10000'
'time_9',0,29302,29302,2908,32210,-32210,0,29295,29295,'byte_10000'
'time_9',29302,2915,32210,-32210,0,29295,29295,-29295,0,'byte_500'
'time_9',32210,0,0,29295,29295,-29295,0,29295,29295,'byte_10000'
'time_9',0,0,29295,-29295,0,29295,29295,-29295,0,'byte_10000'
'time_9',29295,0,0,29295,29295,-29295,0,32224,32224,'byte_10000'
'time_9',0,-2929,29295,-29295,0,32224,32224,-32224,0,'byte_10000'
'time_10',29295,0,0,32224,32224,-32224,0,14,14,'byte_10000'
'time_10',0,32210,32224,-32224,0,14,14,57881,57895,'byte_500'
'time_10',32224,-57895,0,14,14,57881,57895,-25613,32282,'byte_10000'
'time_10',0,-32268,14,57881,57895,-25613,32282,-32282,0,'byte_500'
'time_10',14,57895,57895,-25613,32282,-32282,0,58584,58584,'byte_500'
'time_10',57895,-26302,32282,-32282,0,58584,58584,-26366,32218,'byte_500'
'time_11',32282,-32218,0,58584,58584,-26366,32218,-32218,0,'byte_500'
'time_11',0,58584,58584,-26366,32218,-32218,0,0,0,'byte_500'
'time_11',58584,32218,32218,-32218,0,0,0,32250,32250,'byte_500'
'time_11',32218,-32250,0,0,0,32250,32250,-32244,6,'byte_500'
'time_11',0,-6,0,32250,32250,-32244,6,32173,32179,'byte_500'
'time_11',0,71,32250,-32244,6,32173,32179,-2884,29295,'byte_500'
'time_12',32250,-29289,6,32173,32179,-2884,29295,2929,32224,'byte_500'
'time_12',6,-45,32179,-2884,29295,2929,32224,32465,64689,'byte_1000'
'time_12',32179,-35394,29295,2929,32224,32465,64689,-5929,58760,'byte_500'
'time_12',29295,-26536,32224,32465,64689,-5929,58760,-26592,32168,'byte_500'
'time_12',32224,32521,64689,-5929,58760,-26592,32168,-31944,224,'byte_500'
'time_13',64689,58536,58760,-26592,32168,-31944,224,106001,106225,'byte_1000'
