@relation dataset_day_22_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1228,154529,154529,-95932,58597,-25244,33353,-5013,28340,4002,32342,-32107,235,'byte_10000'
'time_0',154529,58362,58597,-25244,33353,-5013,28340,4002,32342,-32107,235,29236,29471,'byte_500'
'time_0',58597,3882,33353,-5013,28340,4002,32342,-32107,235,29236,29471,-29395,76,'byte_10000'
'time_0',33353,28264,28340,4002,32342,-32107,235,29236,29471,-29395,76,59249,59325,'byte_10000'
'time_0',28340,-26983,32342,-32107,235,29236,29471,-29395,76,59249,59325,-26752,32573,'byte_500'
'time_0',32342,-32338,235,29236,29471,-29395,76,59249,59325,-26752,32573,-32320,253,'byte_10000'
'time_1',235,29218,29471,-29395,76,59249,59325,-26752,32573,-32320,253,64339,64592,'byte_10000'
'time_1',29471,-64516,76,59249,59325,-26752,32573,-32320,253,64339,64592,-18089,46503,'byte_10000'
'time_1',76,12822,59325,-26752,32573,-32320,253,64339,64592,-18089,46503,-14246,32257,'byte_500'
'time_1',59325,316,32573,-32320,253,64339,64592,-18089,46503,-14246,32257,-32211,46,'byte_500'
'time_1',32573,207,253,64339,64592,-18089,46503,-14246,32257,-32211,46,39,85,'byte_500'
'time_1',253,64507,64592,-18089,46503,-14246,32257,-32211,46,39,85,-28,57,'byte_500'
'time_2',64592,46446,46503,-14246,32257,-32211,46,39,85,-28,57,-19,38,'byte_10000'
'time_2',46503,32219,32257,-32211,46,39,85,-28,57,-19,38,87927,87965,'byte_500'
'time_2',32257,-87919,46,39,85,-28,57,-19,38,87927,87965,-87965,0,'byte_500'
'time_2',46,85,85,-28,57,-19,38,87927,87965,-87965,0,0,0,'byte_10000'
'time_2',85,57,57,-19,38,87927,87965,-87965,0,0,0,32224,32224,'byte_500'
'time_2',57,-32186,38,87927,87965,-87965,0,0,0,32224,32224,-32224,0,'byte_500'
'time_3',38,87965,87965,-87965,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_3',87965,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_3',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_10000'
'time_3',0,32224,32224,-32224,0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_3',32224,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,32224,32224,-32224,0,0,0,0,0,29295,29295,'byte_500'
'time_4',0,2929,32224,-32224,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_4',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_5',0,0,0,29295,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_5',0,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_5',0,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,32224,32224,-32224,0,0,0,58578,58578,'byte_500'
'time_6',0,-58578,0,32224,32224,-32224,0,0,0,58578,58578,-58578,0,'byte_500'
'time_6',0,32224,32224,-32224,0,0,0,58578,58578,-58578,0,0,0,'byte_500'
'time_6',32224,0,0,0,0,58578,58578,-58578,0,0,0,0,0,'byte_500'
'time_6',0,0,0,58578,58578,-58578,0,0,0,0,0,0,0,'byte_500'
'time_7',0,58578,58578,-58578,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',58578,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,0,0,32218,32218,'byte_500'
'time_7',0,-32218,0,0,0,0,0,0,0,32218,32218,-32212,6,'byte_10000'
'time_7',0,-6,0,0,0,0,0,32218,32218,-32212,6,32212,32218,'byte_500'
'time_8',0,-32218,0,0,0,32218,32218,-32212,6,32212,32218,-32218,0,'byte_500'
'time_8',0,0,0,32218,32218,-32212,6,32212,32218,-32218,0,0,0,'byte_10000'
'time_8',0,32218,32218,-32212,6,32212,32218,-32218,0,0,0,32224,32224,'byte_10000'
'time_8',32218,-32218,6,32212,32218,-32218,0,0,0,32224,32224,-2935,29289,'byte_500'
'time_8',6,2929,32218,-32218,0,0,0,32224,32224,-2935,29289,-29289,0,'byte_500'
'time_8',32218,0,0,0,0,32224,32224,-2935,29289,-29289,0,0,0,'byte_10000'
'time_9',0,0,0,32224,32224,-2935,29289,-29289,0,0,0,32218,32218,'byte_10000'
'time_9',0,6,32224,-2935,29289,-29289,0,0,0,32218,32218,32224,64442,'byte_10000'
'time_9',32224,-35153,29289,-29289,0,0,0,32218,32218,32224,64442,-49134,15308,'byte_10000'
'time_9',29289,-15308,0,0,0,32218,32218,32224,64442,-49134,15308,71,15379,'byte_500'
'time_9',0,-15379,0,32218,32218,32224,64442,-49134,15308,71,15379,-15379,0,'byte_500'
'time_9',0,32218,32218,32224,64442,-49134,15308,71,15379,-15379,0,0,0,'byte_10000'
'time_10',32218,64442,64442,-49134,15308,71,15379,-15379,0,0,0,87879,87879,'byte_10000'
'time_10',64442,-72571,15308,71,15379,-15379,0,0,0,87879,87879,-23405,64474,'byte_10000'
'time_10',15308,-49095,15379,-15379,0,0,0,87879,87879,-23405,64474,-32256,32218,'byte_500'
'time_10',15379,-32218,0,0,0,87879,87879,-23405,64474,-32256,32218,-32218,0,'byte_10000'
'time_10',0,0,0,87879,87879,-23405,64474,-32256,32218,-32218,0,32250,32250,'byte_500'
'time_10',0,55629,87879,-23405,64474,-32256,32218,-32218,0,32250,32250,-32250,0,'byte_500'
'time_11',87879,64474,64474,-32256,32218,-32218,0,32250,32250,-32250,0,0,0,'byte_10000'
'time_11',64474,32218,32218,-32218,0,32250,32250,-32250,0,0,0,64474,64474,'byte_10000'
'time_11',32218,-64474,0,32250,32250,-32250,0,0,0,64474,64474,-5878,58596,'byte_10000'
'time_11',0,-26346,32250,-32250,0,0,0,64474,64474,-5878,58596,-26372,32224,'byte_500'
'time_11',32250,-32224,0,0,0,64474,64474,-5878,58596,-26372,32224,-32224,0,'byte_500'
'time_12',0,0,0,64474,64474,-5878,58596,-26372,32224,-32224,0,0,0,'byte_10000'
'time_12',0,64474,64474,-5878,58596,-26372,32224,-32224,0,0,0,87914,87914,'byte_10000'
'time_12',64474,-29318,58596,-26372,32224,-32224,0,0,0,87914,87914,-23433,64481,'byte_10000'
'time_12',58596,-32257,32224,-32224,0,0,0,87914,87914,-23433,64481,-32263,32218,'byte_10000'
'time_12',32224,-32218,0,0,0,87914,87914,-23433,64481,-32263,32218,26574,58792,'byte_500'
'time_12',0,-58792,0,87914,87914,-23433,64481,-32263,32218,26574,58792,-58539,253,'byte_500'
'time_13',0,87661,87914,-23433,64481,-32263,32218,26574,58792,-58539,253,-207,46,'byte_10000'
