@relation dataset_day_9_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',896,0,0,87920,87920,-55642,32278,-32202,76,40550,40626,-4400,36226,'byte_10000'
'time_0',0,51694,87920,-55642,32278,-32202,76,40550,40626,-4400,36226,60591,96817,'byte_10000'
'time_0',87920,-64539,32278,-32202,76,40550,40626,-4400,36226,60591,96817,-67419,29398,'byte_500'
'time_0',32278,-29322,76,40550,40626,-4400,36226,60591,96817,-67419,29398,-29319,79,'byte_10000'
'time_0',76,40547,40626,-4400,36226,60591,96817,-67419,29398,-29319,79,58636,58715,'byte_10000'
'time_0',40626,-22489,36226,60591,96817,-67419,29398,-29319,79,58636,58715,-27040,31675,'byte_10000'
'time_1',36226,65142,96817,-67419,29398,-29319,79,58636,58715,-27040,31675,-1574,30101,'byte_500'
'time_1',96817,-703,29398,-29319,79,58636,58715,-27040,31675,-1574,30101,-30032,69,'byte_10000'
'time_1',29398,10,79,58636,58715,-27040,31675,-1574,30101,-30032,69,58605,58674,'byte_500'
'time_1',79,41,58715,-27040,31675,-1574,30101,-30032,69,58605,58674,-58349,325,'byte_10000'
'time_1',58715,31350,31675,-1574,30101,-30032,69,58605,58674,-58349,325,67487,67812,'byte_10000'
'time_1',31675,-37711,30101,-30032,69,58605,58674,-58349,325,67487,67812,-35470,32342,'byte_10000'
'time_2',30101,-32273,69,58605,58674,-58349,325,67487,67812,-35470,32342,55527,87869,'byte_10000'
'time_2',69,-29195,58674,-58349,325,67487,67812,-35470,32342,55527,87869,-55645,32224,'byte_500'
'time_2',58674,-31899,325,67487,67812,-35470,32342,55527,87869,-55645,32224,-32224,0,'byte_500'
'time_2',325,67812,67812,-35470,32342,55527,87869,-55645,32224,-32224,0,0,0,'byte_10000'
'time_2',67812,32342,32342,55527,87869,-55645,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_2',32342,55645,87869,-55645,32224,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_3',87869,32224,32224,-32224,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_3',32224,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_3',0,0,0,32224,32224,-32224,0,0,0,0,0,32224,32224,'byte_500'
'time_3',0,0,32224,-32224,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_3',32224,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,32224,32224,-32224,0,0,0,0,0,0,0,29295,29295,'byte_10000'
