@relation dataset_day_19_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',122,18,18,58605,58623,-58576,47,29275,29322,3224,32546,-32425,121,'byte_10000'
'time_0',18,58502,58623,-58576,47,29275,29322,3224,32546,-32425,121,32291,32412,'byte_500'
'time_0',58623,-32365,47,29275,29322,3224,32546,-32425,121,32291,32412,-32177,235,'byte_10000'
'time_0',47,29087,29322,3224,32546,-32425,121,32291,32412,-32177,235,32430,32665,'byte_500'
'time_0',29322,-119,32546,-32425,121,32291,32412,-32177,235,32430,32665,-32258,407,'byte_10000'
'time_0',32546,-286,121,32291,32412,-32177,235,32430,32665,-32258,407,31701,32108,'byte_500'
'time_1',121,304,32412,-32177,235,32430,32665,-32258,407,31701,32108,-31895,213,'byte_10000'
'time_1',32412,22,235,32430,32665,-32258,407,31701,32108,-31895,213,65176,65389,'byte_500'
'time_1',235,-32724,32665,-32258,407,31701,32108,-31895,213,65176,65389,-65143,246,'byte_10000'
'time_1',32665,161,407,31701,32108,-31895,213,65176,65389,-65143,246,31823,32069,'byte_10000'
'time_1',407,39,32108,-31895,213,65176,65389,-65143,246,31823,32069,26552,58621,'byte_500'
'time_1',32108,-58408,213,65176,65389,-65143,246,31823,32069,26552,58621,-58366,255,'byte_500'
'time_2',213,65134,65389,-65143,246,31823,32069,26552,58621,-58366,255,-255,0,'byte_10000'
'time_2',65389,246,246,31823,32069,26552,58621,-58366,255,-255,0,32280,32280,'byte_500'
'time_2',246,-211,32069,26552,58621,-58366,255,-255,0,32280,32280,-32176,104,'byte_500'
'time_2',32069,58517,58621,-58366,255,-255,0,32280,32280,-32176,104,-22,82,'byte_10000'
'time_2',58621,173,255,-255,0,32280,32280,-32176,104,-22,82,96861,96943,'byte_500'
'time_2',255,-96943,0,32280,32280,-32176,104,-22,82,96861,96943,-96908,35,'byte_500'
'time_3',0,32245,32280,-32176,104,-22,82,96861,96943,-96908,35,-35,0,'byte_500'
