@relation dataset_day_29_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1001,29295,29295,-27679,1616,15760,17376,-5745,11631,18298,29929,2741,32670,'byte_500'
'time_0',29295,-31054,1616,15760,17376,-5745,11631,18298,29929,2741,32670,26050,58720,'byte_500'
'time_0',1616,-41344,17376,-5745,11631,18298,29929,2741,32670,26050,58720,34840,93560,'byte_500'
'time_0',17376,-81929,11631,18298,29929,2741,32670,26050,58720,34840,93560,-90515,3045,'byte_10000'
'time_0',11631,26884,29929,2741,32670,26050,58720,34840,93560,-90515,3045,1098,4143,'byte_500'
'time_0',29929,28527,32670,26050,58720,34840,93560,-90515,3045,1098,4143,24307,28450,'byte_500'
'time_1',32670,30270,58720,34840,93560,-90515,3045,1098,4143,24307,28450,29749,58199,'byte_500'
'time_1',58720,35361,93560,-90515,3045,1098,4143,24307,28450,29749,58199,6433,64632,'byte_10000'
'time_1',93560,-61587,3045,1098,4143,24307,28450,29749,58199,6433,64632,-35207,29425,'byte_500'
'time_1',3045,-25282,4143,24307,28450,29749,58199,6433,64632,-35207,29425,-29425,0,'byte_500'
'time_1',4143,28450,28450,29749,58199,6433,64632,-35207,29425,-29425,0,29471,29471,'byte_500'
'time_1',28450,28728,58199,6433,64632,-35207,29425,-29425,0,29471,29471,2918,32389,'byte_500'
'time_2',58199,32243,64632,-35207,29425,-29425,0,29471,29471,2918,32389,-3088,29301,'byte_10000'
'time_2',64632,124,29425,-29425,0,29471,29471,2918,32389,-3088,29301,2935,32236,'byte_500'
'time_2',29425,-32236,0,29471,29471,2918,32389,-3088,29301,2935,32236,26331,58567,'byte_500'
'time_2',0,-29096,29471,2918,32389,-3088,29301,2935,32236,26331,58567,5875,64442,'byte_500'
'time_2',29471,-32053,32389,-3088,29301,2935,32236,26331,58567,5875,64442,-64442,0,'byte_500'
'time_2',32389,29301,29301,2935,32236,26331,58567,5875,64442,-64442,0,0,0,'byte_500'
'time_3',29301,32236,32236,26331,58567,5875,64442,-64442,0,0,0,0,0,'byte_500'
'time_3',32236,58567,58567,5875,64442,-64442,0,0,0,0,0,29295,29295,'byte_500'
'time_3',58567,35147,64442,-64442,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_3',64442,0,0,0,0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',0,0,0,0,0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,0,0,32218,32218,'byte_500'
'time_4',0,-2923,29295,-29295,0,0,0,0,0,32218,32218,-32218,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,32218,32218,-32218,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,32218,32218,-32218,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,32218,32218,-32218,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,32218,32218,-32218,0,0,0,0,0,0,0,32218,32218,'byte_500'
'time_5',32218,-32218,0,0,0,0,0,0,0,32218,32218,-32218,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32218,32218,-32218,0,0,0,'byte_500'
'time_5',0,0,0,0,0,32218,32218,-32218,0,0,0,0,0,'byte_500'
'time_5',0,0,0,32218,32218,-32218,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,32218,32218,-32218,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',32218,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_7',0,-29295,0,0,0,0,0,0,0,29295,29295,35147,64442,'byte_10000'
'time_7',0,-64442,0,0,0,0,0,29295,29295,35147,64442,-32218,32224,'byte_500'
'time_7',0,-32224,0,0,0,29295,29295,35147,64442,-32218,32224,-32224,0,'byte_500'
'time_7',0,0,0,29295,29295,35147,64442,-32218,32224,-32224,0,0,0,'byte_10000'
'time_8',0,29295,29295,35147,64442,-32218,32224,-32224,0,0,0,0,0,'byte_500'
'time_8',29295,64442,64442,-32218,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_8',64442,32224,32224,-32224,0,0,0,0,0,0,0,32218,32218,'byte_10000'
'time_8',32224,-32218,0,0,0,0,0,0,0,32218,32218,-32218,0,'byte_10000'
'time_8',0,0,0,0,0,0,0,32218,32218,-32218,0,0,0,'byte_10000'
'time_8',0,0,0,0,0,32218,32218,-32218,0,0,0,29289,29289,'byte_500'
'time_9',0,-29289,0,32218,32218,-32218,0,0,0,29289,29289,-29269,20,'byte_10000'
'time_9',0,32198,32218,-32218,0,0,0,29289,29289,-29269,20,-20,0,'byte_500'
'time_9',32218,0,0,0,0,29289,29289,-29269,20,-20,0,64436,64436,'byte_10000'
'time_9',0,-64436,0,29289,29289,-29269,20,-20,0,64436,64436,-32753,31683,'byte_10000'
'time_9',0,-2394,29289,-29269,20,-20,0,64436,64436,-32753,31683,-31197,486,'byte_10000'
'time_9',29289,-466,20,-20,0,64436,64436,-32753,31683,-31197,486,-486,0,'byte_10000'
'time_10',20,0,0,64436,64436,-32753,31683,-31197,486,-486,0,29295,29295,'byte_10000'
'time_10',0,35141,64436,-32753,31683,-31197,486,-486,0,29295,29295,-29295,0,'byte_500'
'time_10',64436,31683,31683,-31197,486,-486,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_10',31683,486,486,-486,0,29295,29295,-29295,0,0,0,87867,87867,'byte_500'
'time_10',486,-87867,0,29295,29295,-29295,0,0,0,87867,87867,-87867,0,'byte_500'
'time_10',0,29295,29295,-29295,0,0,0,87867,87867,-87867,0,0,0,'byte_500'
'time_11',29295,0,0,0,0,87867,87867,-87867,0,0,0,32282,32282,'byte_500'
'time_11',0,-32282,0,87867,87867,-87867,0,0,0,32282,32282,-5165,27117,'byte_500'
'time_11',0,60750,87867,-87867,0,0,0,32282,32282,-5165,27117,5101,32218,'byte_500'
'time_11',87867,-32218,0,0,0,32282,32282,-5165,27117,5101,32218,-32161,57,'byte_500'
'time_11',0,-57,0,32282,32282,-5165,27117,5101,32218,-32161,57,58521,58578,'byte_500'
'time_11',0,-26296,32282,-5165,27117,5101,32218,-32161,57,58521,58578,-58578,0,'byte_500'
'time_12',32282,27117,27117,5101,32218,-32161,57,58521,58578,-58578,0,29409,29409,'byte_500'
'time_12',27117,2809,32218,-32161,57,58521,58578,-58578,0,29409,29409,2772,32181,'byte_500'
'time_12',32218,-32124,57,58521,58578,-58578,0,29409,29409,2772,32181,-2734,29447,'byte_1000'
'time_12',57,29131,58578,-58578,0,29409,29409,2772,32181,-2734,29447,2856,32303,'byte_1000'
'time_12',58578,-32303,0,29409,29409,2772,32181,-2734,29447,2856,32303,-3019,29284,'byte_1000'
'time_13',0,125,29409,2772,32181,-2734,29447,2856,32303,-3019,29284,-29254,30,'byte_500'
'time_13',29409,32151,32181,-2734,29447,2856,32303,-3019,29284,-29254,30,32330,32360,'byte_500'
'time_13',32181,-2913,29447,2856,32303,-3019,29284,-29254,30,32330,32360,-32279,81,'byte_1000'
'time_13',29447,32222,32303,-3019,29284,-29254,30,32330,32360,-32279,81,175,256,'byte_500'
'time_13',32303,29028,29284,-29254,30,32330,32360,-32279,81,175,256,-193,63,'byte_500'
'time_13',29284,-33,30,32330,32360,-32279,81,175,256,-193,63,-5,58,'byte_500'
'time_14',30,32302,32360,-32279,81,175,256,-193,63,-5,58,347,405,'byte_500'
'time_14',32360,-324,81,175,256,-193,63,-5,58,347,405,-387,18,'byte_500'
'time_14',81,238,256,-193,63,-5,58,347,405,-387,18,392,410,'byte_1000'
'time_14',256,-347,63,-5,58,347,405,-387,18,392,410,-338,72,'byte_500'
'time_14',63,-14,58,347,405,-387,18,392,410,-338,72,11,83,'byte_1500'
'time_14',58,322,405,-387,18,392,410,-338,72,11,83,66,149,'byte_1000'
'time_15',405,-131,18,392,410,-338,72,11,83,66,149,286,435,'byte_500'
'time_15',18,-25,410,-338,72,11,83,66,149,286,435,392,827,'byte_500'
'time_15',410,-755,72,11,83,66,149,286,435,392,827,-120,707,'byte_1000'
'time_15',72,-624,83,66,149,286,435,392,827,-120,707,7,714,'byte_1000'
'time_15',83,-565,149,286,435,392,827,-120,707,7,714,-227,487,'byte_500'
'time_16',149,-52,435,392,827,-120,707,7,714,-227,487,-213,274,'byte_1500'
'time_16',435,553,827,-120,707,7,714,-227,487,-213,274,306,580,'byte_1000'
'time_16',827,127,707,7,714,-227,487,-213,274,306,580,-82,498,'byte_1000'
'time_16',707,216,714,-227,487,-213,274,306,580,-82,498,-436,62,'byte_500'
'time_16',714,425,487,-213,274,306,580,-82,498,-436,62,124,186,'byte_500'
'time_16',487,88,274,306,580,-82,498,-436,62,124,186,35,221,'byte_500'
'time_17',274,359,580,-82,498,-436,62,124,186,35,221,244,465,'byte_1500'
'time_17',580,33,498,-436,62,124,186,35,221,244,465,128,593,'byte_500'
'time_17',498,-531,62,124,186,35,221,244,465,128,593,-454,139,'byte_1000'
'time_17',62,47,186,35,221,244,465,128,593,-454,139,897,1036,'byte_1500'
'time_17',186,-815,221,244,465,128,593,-454,139,897,1036,-527,509,'byte_500'
'time_17',221,-44,465,128,593,-454,139,897,1036,-527,509,-148,361,'byte_1000'
'time_18',465,232,593,-454,139,897,1036,-527,509,-148,361,-191,170,'byte_1000'
'time_18',593,-31,139,897,1036,-527,509,-148,361,-191,170,693,863,'byte_500'
'time_18',139,173,1036,-527,509,-148,361,-191,170,693,863,-76,787,'byte_1000'
'time_18',1036,-278,509,-148,361,-191,170,693,863,-76,787,-575,212,'byte_500'
'time_18',509,149,361,-191,170,693,863,-76,787,-575,212,869,1081,'byte_1000'
'time_19',361,-911,170,693,863,-76,787,-575,212,869,1081,-233,848,'byte_1000'
'time_19',170,15,863,-76,787,-575,212,869,1081,-233,848,-210,638,'byte_500'
'time_19',863,149,787,-575,212,869,1081,-233,848,-210,638,-193,445,'byte_1000'
'time_19',787,-233,212,869,1081,-233,848,-210,638,-193,445,-317,128,'byte_1500'
'time_19',212,953,1081,-233,848,-210,638,-193,445,-317,128,-23,105,'byte_500'
'time_19',1081,743,848,-210,638,-193,445,-317,128,-23,105,940,1045,'byte_1500'
'time_20',848,-407,638,-193,445,-317,128,-23,105,940,1045,-729,316,'byte_10000'
