@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',4040,0,0,3202,3202,2128,5330,7240,12570,'byte_4000'
'time_0',0,-9368,3202,2128,5330,7240,12570,-8907,3663,'byte_10000'
'time_0',3202,1667,5330,7240,12570,-8907,3663,8418,12081,'byte_10000'
'time_0',5330,489,12570,-8907,3663,8418,12081,-2040,10041,'byte_7500'
'time_1',12570,-6378,3663,8418,12081,-2040,10041,-2714,7327,'byte_4500'
'time_1',3663,4754,12081,-2040,10041,-2714,7327,-3304,4023,'byte_4000'
'time_1',12081,6018,10041,-2714,7327,-3304,4023,-351,3672,'byte_8500'
'time_1',10041,3655,7327,-3304,4023,-351,3672,4385,8057,'byte_7000'
'time_1',7327,-4034,4023,-351,3672,4385,8057,-1319,6738,'byte_500'
'time_1',4023,-3066,3672,4385,8057,-1319,6738,-6502,236,'byte_8000'
'time_2',3672,7821,8057,-1319,6738,-6502,236,7559,7795,'byte_500'
'time_2',8057,-1057,6738,-6502,236,7559,7795,-7795,0,'byte_4000'
'time_2',6738,236,236,7559,7795,-7795,0,3661,3661,'byte_8500'
'time_2',236,4134,7795,-7795,0,3661,3661,4393,8054,'byte_4500'
'time_2',7795,-8054,0,3661,3661,4393,8054,-4027,4027,'byte_4000'
'time_2',0,-366,3661,4393,8054,-4027,4027,-364,3663,'byte_500'
'time_3',3661,4391,8054,-4027,4027,-364,3663,-3663,0,'byte_8500'
'time_3',8054,4027,4027,-364,3663,-3663,0,8060,8060,'byte_500'
'time_3',4027,-4397,3663,-3663,0,8060,8060,-8060,0,'byte_4500'
'time_3',3663,0,0,8060,8060,-8060,0,4027,4027,'byte_500'
'time_3',0,4033,8060,-8060,0,4027,4027,-4027,0,'byte_500'
'time_4',8060,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_4',0,4027,4027,-4027,0,0,0,0,0,'byte_4500'
'time_4',4027,0,0,0,0,0,0,4028,4028,'byte_500'
'time_4',0,-4028,0,0,0,4028,4028,-4028,0,'byte_500'
'time_4',0,0,0,4028,4028,-4028,0,0,0,'byte_4500'
'time_4',0,4028,4028,-4028,0,0,0,4027,4027,'byte_500'
'time_5',4028,-4027,0,0,0,4027,4027,-4027,0,'byte_4500'
'time_5',0,0,0,4027,4027,-4027,0,4027,4027,'byte_4000'
'time_5',0,0,4027,-4027,0,4027,4027,-93,3934,'byte_500'
'time_5',4027,-3934,0,4027,4027,-93,3934,-3934,0,'byte_500'
'time_5',0,4027,4027,-93,3934,-3934,0,0,0,'byte_4500'
'time_5',4027,3934,3934,-3934,0,0,0,4027,4027,'byte_500'
'time_6',3934,-4027,0,0,0,4027,4027,-4027,0,'byte_500'
'time_6',0,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_6',0,4027,4027,-4027,0,0,0,0,0,'byte_4000'
'time_6',4027,0,0,0,0,0,0,3661,3661,'byte_500'
'time_6',0,-3661,0,0,0,3661,3661,-3661,0,'byte_500'
'time_6',0,0,0,3661,3661,-3661,0,0,0,'byte_4500'
'time_7',0,3661,3661,-3661,0,0,0,4027,4027,'byte_500'
'time_7',3661,-4027,0,0,0,4027,4027,-4027,0,'byte_4000'
'time_7',0,0,0,4027,4027,-4027,0,3666,3666,'byte_3500'
'time_7',0,361,4027,-4027,0,3666,3666,-169,3497,'byte_1000'
'time_7',4027,-3497,0,3666,3666,-169,3497,-2971,526,'byte_500'
'time_7',0,3140,3666,-169,3497,-2971,526,-526,0,'byte_1500'
'time_8',3666,3497,3497,-2971,526,-526,0,1461,1461,'byte_2500'
'time_8',3497,-935,526,-526,0,1461,1461,872,2333,'byte_4500'
'time_8',526,-2333,0,1461,1461,872,2333,1919,4252,'byte_3500'
'time_8',0,-2791,1461,872,2333,1919,4252,-795,3457,'byte_500'
'time_8',1461,-1124,2333,1919,4252,-795,3457,-3457,0,'byte_8500'
'time_9',2333,4252,4252,-795,3457,-3457,0,8054,8054,'byte_500'
'time_9',4252,-4597,3457,-3457,0,8054,8054,-8053,1,'byte_4500'
'time_9',3457,-1,0,8054,8054,-8053,1,4027,4028,'byte_500'
'time_9',0,4026,8054,-8053,1,4027,4028,-4017,11,'byte_8500'
'time_9',8054,-10,1,4027,4028,-4017,11,8043,8054,'byte_4000'
'time_9',1,-4026,4028,-4017,11,8043,8054,-4393,3661,'byte_500'
'time_10',4028,-3650,11,8043,8054,-4393,3661,-3660,1,'byte_4500'
'time_10',11,8053,8054,-4393,3661,-3660,1,4026,4027,'byte_4000'
'time_10',8054,-366,3661,-3660,1,4026,4027,-364,3663,'byte_8500'
'time_10',3661,-3662,1,4026,4027,-364,3663,4397,8060,'byte_7500'
'time_10',1,-4033,4027,-364,3663,4397,8060,-738,7322,'byte_500'
'time_10',4027,-3659,3663,4397,8060,-738,7322,-7322,0,'byte_7500'
'time_11',3663,8060,8060,-738,7322,-7322,0,7325,7325,'byte_500'
'time_11',8060,-3,7322,-7322,0,7325,7325,-7324,1,'byte_7500'
'time_11',7322,-1,0,7325,7325,-7324,1,7322,7323,'byte_500'
'time_11',0,2,7325,-7324,1,7322,7323,-7316,7,'byte_4500'
'time_11',7325,-6,1,7322,7323,-7316,7,4021,4028,'byte_9500'
'time_11',1,3295,7323,-7316,7,4021,4028,5217,9245,'byte_2000'
'time_12',7323,-9238,7,4021,4028,5217,9245,-7331,1914,'byte_7500'
'time_12',7,2114,4028,5217,9245,-7331,1914,5408,7322,'byte_4500'
'time_12',4028,1923,9245,-7331,1914,5408,7322,-3291,4031,'byte_4500'
'time_12',9245,-2117,1914,5408,7322,-3291,4031,138,4169,'byte_4000'
'time_12',1914,3153,7322,-3291,4031,138,4169,-370,3799,'byte_10000'
'time_13',7322,232,4031,138,4169,-370,3799,5921,9720,'byte_9500'
'time_13',4031,-5551,4169,-370,3799,5921,9720,-272,9448,'byte_500'
'time_13',4169,-5649,3799,5921,9720,-272,9448,-9448,0,'byte_7500'
'time_13',3799,9720,9720,-272,9448,-9448,0,7325,7325,'byte_8500'
'time_13',9720,2123,9448,-9448,0,7325,7325,730,8055,'byte_1000'
'time_13',9448,-8055,0,7325,7325,730,8055,-7345,710,'byte_10000'
'time_14',0,6615,7325,730,8055,-7345,710,11822,12532,'byte_10000'
'time_14',7325,-4477,8055,-7345,710,11822,12532,-1211,11321,'byte_8500'
'time_14',8055,-10611,710,11822,12532,-1211,11321,-3265,8056,'byte_500'
'time_14',710,4476,12532,-1211,11321,-3265,8056,-7879,177,'byte_7500'
'time_14',12532,11144,11321,-3265,8056,-7879,177,7145,7322,'byte_4500'
'time_14',11321,734,8056,-7879,177,7145,7322,-3290,4032,'byte_4000'
'time_15',8056,-3855,177,7145,7322,-3290,4032,-370,3662,'byte_4500'
'time_15',177,3660,7322,-3290,4032,-370,3662,363,4025,'byte_8000'
'time_15',7322,7,4032,-370,3662,363,4025,3497,7522,'byte_10000'
'time_15',4032,-3860,3662,363,4025,3497,7522,4344,11866,'byte_10000'
'time_15',3662,-7841,4025,3497,7522,4344,11866,4247,16113,'byte_10000'
'time_15',4025,-8591,7522,4344,11866,4247,16113,-5745,10368,'byte_8500'
'time_16',7522,1498,11866,4247,16113,-5745,10368,-2307,8061,'byte_500'
'time_16',11866,8052,16113,-5745,10368,-2307,8061,-8028,33,'byte_8500'
'time_16',16113,10335,10368,-2307,8061,-8028,33,8023,8056,'byte_500'
'time_16',10368,5,8061,-8028,33,8023,8056,-8056,0,'byte_4500'
'time_16',8061,33,33,8023,8056,-8056,0,4028,4028,'byte_8500'
'time_17',33,4028,8056,-8056,0,4028,4028,4028,8056,'byte_7500'
'time_17',8056,-8056,0,4028,4028,4028,8056,-732,7324,'byte_10000'
'time_17',0,-3296,4028,4028,8056,-732,7324,4761,12085,'byte_500'
'time_17',4028,-4029,8056,-732,7324,4761,12085,-12085,0,'byte_500'
'time_17',8056,7324,7324,4761,12085,-12085,0,0,0,'byte_500'
'time_17',7324,12085,12085,-12085,0,0,0,1,1,'byte_4500'
'time_18',12085,-1,0,0,0,1,1,4026,4027,'byte_500'
'time_18',0,-4027,0,1,1,4026,4027,-4022,5,'byte_9000'
'time_18',0,-4,1,4026,4027,-4022,5,8972,8977,'byte_7500'
'time_18',1,-4950,4027,-4022,5,8972,8977,-1653,7324,'byte_500'
'time_18',4027,-7319,5,8972,8977,-1653,7324,-7320,4,'byte_500'
'time_18',5,8973,8977,-1653,7324,-7320,4,-4,0,'byte_500'
'time_19',8977,7324,7324,-7320,4,-4,0,0,0,'byte_8500'
'time_19',7324,4,4,-4,0,0,0,8060,8060,'byte_4000'
'time_19',4,-8060,0,0,0,8060,8060,-4399,3661,'byte_8500'
'time_19',0,-3661,0,8060,8060,-4399,3661,4396,8057,'byte_4000'
'time_19',0,3,8060,-4399,3661,4396,8057,-4394,3663,'byte_4500'
'time_19',8060,-2,3661,4396,8057,-4394,3663,368,4031,'byte_4000'
'time_20',3661,4026,8057,-4394,3663,368,4031,-370,3661,'byte_4500'
'time_20',8057,2,3663,368,4031,-370,3661,366,4027,'byte_7500'
'time_20',3663,4,4031,-370,3661,366,4027,3295,7322,'byte_500'
'time_20',4031,-3661,3661,366,4027,3295,7322,-7317,5,'byte_4000'
'time_20',3661,4022,4027,3295,7322,-7317,5,3660,3665,'byte_500'
'time_21',4027,3657,7322,-7317,5,3660,3665,-3665,0,'byte_10000'
'time_21',7322,5,5,3660,3665,-3665,0,18309,18309,'byte_10000'
'time_21',5,-14644,3665,-3665,0,18309,18309,1830,20139,'byte_10000'
'time_21',3665,-20139,0,18309,18309,1830,20139,-9116,11023,'byte_4000'
'time_21',0,7286,18309,1830,20139,-9116,11023,-7028,3995,'byte_10000'
'time_21',18309,16144,20139,-9116,11023,-7028,3995,12116,16111,'byte_7500'
'time_22',20139,-5088,11023,-7028,3995,12116,16111,-8788,7323,'byte_4500'
'time_22',11023,-3328,3995,12116,16111,-8788,7323,-3291,4032,'byte_7000'
'time_22',3995,12079,16111,-8788,7323,-3291,4032,2942,6974,'byte_8500'
'time_22',16111,349,7323,-3291,4032,2942,6974,1083,8057,'byte_6000'
'time_22',7323,-4025,4032,2942,6974,1083,8057,-2242,5815,'byte_10000'
'time_22',4032,1159,6974,1083,8057,-2242,5815,6270,12085,'byte_7500'
'time_23',6974,-4028,8057,-2242,5815,6270,12085,-4773,7312,'byte_4500'
'time_23',8057,-1497,5815,6270,12085,-4773,7312,-3272,4040,'byte_500'
