@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7240,0,0,0,0,7332,7332,8804,16136,-5151,10985,-6800,4185,'byte_10000'
'time_0',0,-4185,0,7332,7332,8804,16136,-5151,10985,-6800,4185,6228,10413,'byte_10000'
'time_0',0,-3081,7332,8804,16136,-5151,10985,-6800,4185,6228,10413,570,10983,'byte_8500'
'time_0',7332,5153,16136,-5151,10985,-6800,4185,6228,10413,570,10983,-2928,8055,'byte_500'
'time_0',16136,2930,10985,-6800,4185,6228,10413,570,10983,-2928,8055,-8055,0,'byte_3000'
'time_0',10985,4185,4185,6228,10413,570,10983,-2928,8055,-8055,0,2591,2591,'byte_1500'
'time_1',4185,7822,10413,570,10983,-2928,8055,-8055,0,2591,2591,-1262,1329,'byte_4500'
'time_1',10413,9654,10983,-2928,8055,-8055,0,2591,2591,-1262,1329,2704,4033,'byte_4000'
'time_1',10983,4022,8055,-8055,0,2591,2591,-1262,1329,2704,4033,-370,3663,'byte_500'
'time_1',8055,-3663,0,2591,2591,-1262,1329,2704,4033,-370,3663,-3661,2,'byte_4000'
'time_1',0,2589,2591,-1262,1329,2704,4033,-370,3663,-3661,2,3658,3660,'byte_500'
'time_1',2591,-2331,1329,2704,4033,-370,3663,-3661,2,3658,3660,-3660,0,'byte_4000'
'time_2',1329,4033,4033,-370,3663,-3661,2,3658,3660,-3660,0,3687,3687,'byte_500'
'time_2',4033,-24,3663,-3661,2,3658,3660,-3660,0,3687,3687,-3687,0,'byte_500'
'time_2',3663,2,2,3658,3660,-3660,0,3687,3687,-3687,0,0,0,'byte_2500'
'time_2',2,3660,3660,-3660,0,3687,3687,-3687,0,0,0,2331,2331,'byte_2000'
'time_2',3660,-2331,0,3687,3687,-3687,0,0,0,2331,2331,-789,1542,'byte_500'
'time_3',0,2145,3687,-3687,0,0,0,2331,2331,-789,1542,-1542,0,'byte_4000'
'time_3',3687,0,0,0,0,2331,2331,-789,1542,-1542,0,3661,3661,'byte_500'
'time_3',0,-3661,0,2331,2331,-789,1542,-1542,0,3661,3661,-3660,1,'byte_500'
'time_3',0,2330,2331,-789,1542,-1542,0,3661,3661,-3660,1,-1,0,'byte_4500'
'time_3',2331,1542,1542,-1542,0,3661,3661,-3660,1,-1,0,4027,4027,'byte_500'
'time_3',1542,-4027,0,3661,3661,-3660,1,-1,0,4027,4027,-4025,2,'byte_4500'
'time_4',0,3659,3661,-3660,1,-1,0,4027,4027,-4025,2,4026,4028,'byte_4000'
'time_4',3661,-4027,1,-1,0,4027,4027,-4025,2,4026,4028,-366,3662,'byte_500'
'time_4',1,-3662,0,4027,4027,-4025,2,4026,4028,-366,3662,-3662,0,'byte_500'
'time_4',0,4027,4027,-4025,2,4026,4028,-366,3662,-3662,0,0,0,'byte_500'
'time_4',4027,2,2,4026,4028,-366,3662,-3662,0,0,0,0,0,'byte_4500'
'time_4',2,4028,4028,-366,3662,-3662,0,0,0,0,0,4029,4029,'byte_4000'
'time_5',4028,-367,3662,-3662,0,0,0,0,0,4029,4029,-368,3661,'byte_500'
'time_5',3662,-3661,0,0,0,0,0,4029,4029,-368,3661,-3661,0,'byte_500'
'time_5',0,0,0,0,0,4029,4029,-368,3661,-3661,0,0,0,'byte_4500'
'time_5',0,0,0,4029,4029,-368,3661,-3661,0,0,0,4027,4027,'byte_500'
'time_5',0,2,4029,-368,3661,-3661,0,0,0,4027,4027,-4026,1,'byte_500'
'time_5',4029,3660,3661,-3661,0,0,0,4027,4027,-4026,1,-1,0,'byte_500'
'time_6',3661,0,0,0,0,4027,4027,-4026,1,-1,0,0,0,'byte_500'
'time_6',0,0,0,4027,4027,-4026,1,-1,0,0,0,0,0,'byte_500'
'time_6',0,4027,4027,-4026,1,-1,0,0,0,0,0,0,0,'byte_4500'
'time_6',4027,1,1,-1,0,0,0,0,0,0,0,4027,4027,'byte_500'
'time_6',1,-4027,0,0,0,0,0,0,0,4027,4027,-4027,0,'byte_500'
'time_7',0,0,0,0,0,0,0,4027,4027,-4027,0,0,0,'byte_4500'
'time_7',0,0,0,0,0,4027,4027,-4027,0,0,0,4027,4027,'byte_500'
'time_7',0,-4027,0,4027,4027,-4027,0,0,0,4027,4027,-3990,37,'byte_8500'
'time_7',0,3990,4027,-4027,0,0,0,4027,4027,-3990,37,7978,8015,'byte_4000'
'time_7',4027,-8015,0,0,0,4027,4027,-3990,37,7978,8015,-4353,3662,'byte_500'
'time_7',0,-3662,0,4027,4027,-3990,37,7978,8015,-4353,3662,-3662,0,'byte_4000'
'time_8',0,4027,4027,-3990,37,7978,8015,-4353,3662,-3662,0,3763,3763,'byte_4000'
'time_8',4027,-3726,37,7978,8015,-4353,3662,-3662,0,3763,3763,155,3918,'byte_4000'
'time_8',37,4097,8015,-4353,3662,-3662,0,3763,3763,155,3918,-255,3663,'byte_500'
'time_8',8015,-1,3662,-3662,0,3763,3763,155,3918,-255,3663,-3663,0,'byte_4000'
'time_8',3662,0,0,3763,3763,155,3918,-255,3663,-3663,0,3662,3662,'byte_4000'
'time_8',0,101,3763,155,3918,-255,3663,-3663,0,3662,3662,-81,3581,'byte_4500'
'time_9',3763,337,3918,-255,3663,-3663,0,3662,3662,-81,3581,494,4075,'byte_500'
'time_9',3918,-412,3663,-3663,0,3662,3662,-81,3581,494,4075,-4075,0,'byte_4000'
'time_9',3663,0,0,3662,3662,-81,3581,494,4075,-4075,0,3552,3552,'byte_500'
'time_9',0,110,3662,-81,3581,494,4075,-4075,0,3552,3552,-3552,0,'byte_500'
'time_9',3662,3581,3581,494,4075,-4075,0,3552,3552,-3552,0,1,1,'byte_500'
'time_10',3581,4074,4075,-4075,0,3552,3552,-3552,0,1,1,-1,0,'byte_500'
'time_10',4075,0,0,3552,3552,-3552,0,1,1,-1,0,168,168,'byte_8000'
'time_10',0,3384,3552,-3552,0,1,1,-1,0,168,168,7708,7876,'byte_3000'
'time_10',3552,-7876,0,1,1,-1,0,168,168,7708,7876,-5317,2559,'byte_1500'
'time_10',0,-2558,1,-1,0,168,168,7708,7876,-5317,2559,-1346,1213,'byte_4000'
'time_10',1,-1213,0,168,168,7708,7876,-5317,2559,-1346,1213,2448,3661,'byte_8500'
'time_11',0,-3493,168,7708,7876,-5317,2559,-1346,1213,2448,3661,4399,8060,'byte_4500'
'time_11',168,-184,7876,-5317,2559,-1346,1213,2448,3661,4399,8060,-3868,4192,'byte_10000'
'time_11',7876,-1633,2559,-1346,1213,2448,3661,4399,8060,-3868,4192,7317,11509,'byte_10000'
'time_11',2559,-10296,1213,2448,3661,4399,8060,-3868,4192,7317,11509,3141,14650,'byte_7500'
'time_11',1213,-10989,3661,4399,8060,-3868,4192,7317,11509,3141,14650,-7324,7326,'byte_10000'
'time_11',3661,734,8060,-3868,4192,7317,11509,3141,14650,-7324,7326,3664,10990,'byte_10000'
