@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',19150,4030,4030,3293,7323,-3653,3670,8420,12090,-12066,24,3971,3995,'byte_500'
'time_0',4030,3328,7323,-3653,3670,8420,12090,-12066,24,3971,3995,-635,3360,'byte_4500'
'time_0',7323,310,3670,8420,12090,-12066,24,3971,3995,-635,3360,305,3665,'byte_500'
'time_0',3670,8425,12090,-12066,24,3971,3995,-635,3360,305,3665,359,4024,'byte_10000'
'time_0',12090,-4000,24,3971,3995,-635,3360,305,3665,359,4024,-363,3661,'byte_4000'
'time_0',24,334,3995,-635,3360,305,3665,359,4024,-363,3661,-3656,5,'byte_4500'
'time_1',3995,3355,3360,305,3665,359,4024,-363,3661,-3656,5,-5,0,'byte_500'
'time_1',3360,3665,3665,359,4024,-363,3661,-3656,5,-5,0,4031,4031,'byte_500'
'time_1',3665,-7,4024,-363,3661,-3656,5,-5,0,4031,4031,-4031,0,'byte_500'
'time_1',4024,3661,3661,-3656,5,-5,0,4031,4031,-4031,0,12085,12085,'byte_500'
'time_1',3661,-12080,5,-5,0,4031,4031,-4031,0,12085,12085,-8420,3665,'byte_7500'
'time_1',5,-3665,0,4031,4031,-4031,0,12085,12085,-8420,3665,358,4023,'byte_6000'
'time_2',0,8,4031,-4031,0,12085,12085,-8420,3665,358,4023,-3852,171,'byte_500'
'time_2',4031,-171,0,12085,12085,-8420,3665,358,4023,-3852,171,-171,0,'byte_4500'
'time_2',0,12085,12085,-8420,3665,358,4023,-3852,171,-171,0,0,0,'byte_500'
'time_2',12085,3665,3665,358,4023,-3852,171,-171,0,0,0,0,0,'byte_500'
'time_2',3665,4023,4023,-3852,171,-171,0,0,0,0,0,7323,7323,'byte_500'
'time_3',4023,-7152,171,-171,0,0,0,0,0,7323,7323,-1379,5944,'byte_500'
'time_3',171,-5944,0,0,0,0,0,7323,7323,-1379,5944,-5944,0,'byte_500'
'time_3',0,0,0,0,0,7323,7323,-1379,5944,-5944,0,4027,4027,'byte_4500'
'time_3',0,-4027,0,7323,7323,-1379,5944,-5944,0,4027,4027,-4027,0,'byte_500'
'time_3',0,7323,7323,-1379,5944,-5944,0,4027,4027,-4027,0,0,0,'byte_500'
'time_3',7323,5944,5944,-5944,0,4027,4027,-4027,0,0,0,4,4,'byte_500'
'time_4',5944,-4,0,4027,4027,-4027,0,0,0,4,4,-4,0,'byte_4000'
'time_4',0,4027,4027,-4027,0,0,0,4,4,-4,0,0,0,'byte_500'
'time_4',4027,0,0,0,0,4,4,-4,0,0,0,4028,4028,'byte_500'
'time_4',0,-4028,0,4,4,-4,0,0,0,4028,4028,-4028,0,'byte_4500'
'time_4',0,4,4,-4,0,0,0,4028,4028,-4028,0,0,0,'byte_500'
'time_4',4,0,0,0,0,4028,4028,-4028,0,0,0,0,0,'byte_500'
'time_5',0,0,0,4028,4028,-4028,0,0,0,0,0,3662,3662,'byte_500'
'time_5',0,366,4028,-4028,0,0,0,0,0,3662,3662,-3662,0,'byte_500'
'time_5',4028,0,0,0,0,0,0,3662,3662,-3662,0,0,0,'byte_500'
'time_5',0,0,0,0,0,3662,3662,-3662,0,0,0,4027,4027,'byte_500'
'time_5',0,-4027,0,3662,3662,-3662,0,0,0,4027,4027,-4027,0,'byte_500'
'time_5',0,3662,3662,-3662,0,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_6',3662,0,0,0,0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_6',0,0,0,4027,4027,-4027,0,0,0,0,0,0,0,'byte_500'
'time_6',0,4027,4027,-4027,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',4027,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_8000'
'time_7',0,0,0,0,0,0,0,0,0,0,0,2,2,'byte_500'
'time_7',0,-2,0,0,0,0,0,0,0,2,2,-2,0,'byte_500'
'time_7',0,0,0,0,0,0,0,2,2,-2,0,0,0,'byte_7500'
'time_7',0,0,0,0,0,2,2,-2,0,0,0,0,0,'byte_4500'
'time_7',0,0,0,2,2,-2,0,0,0,0,0,498,498,'byte_4000'
'time_7',0,-496,2,-2,0,0,0,0,0,498,498,7008,7506,'byte_500'
'time_8',2,-7506,0,0,0,0,0,498,498,7008,7506,-7506,0,'byte_500'
'time_8',0,0,0,0,0,498,498,7008,7506,-7506,0,0,0,'byte_9500'
'time_8',0,0,0,498,498,7008,7506,-7506,0,0,0,7324,7324,'byte_4000'
'time_8',0,-6826,498,7008,7506,-7506,0,0,0,7324,7324,-3293,4031,'byte_500'
'time_8',498,3475,7506,-7506,0,0,0,7324,7324,-3293,4031,-369,3662,'byte_10000'
'time_8',7506,-3662,0,0,0,7324,7324,-3293,4031,-369,3662,-3662,0,'byte_7000'
'time_9',0,0,0,7324,7324,-3293,4031,-369,3662,-3662,0,0,0,'byte_1500'
'time_9',0,7324,7324,-3293,4031,-369,3662,-3662,0,0,0,9210,9210,'byte_4500'
'time_9',7324,-5179,4031,-369,3662,-3662,0,0,0,9210,9210,-5549,3661,'byte_500'
'time_9',4031,1,3662,-3662,0,0,0,9210,9210,-5549,3661,-3661,0,'byte_10000'
'time_9',3662,0,0,0,0,9210,9210,-5549,3661,-3661,0,14645,14645,'byte_500'
'time_10',0,-14645,0,9210,9210,-5549,3661,-3661,0,14645,14645,-7978,6667,'byte_4500'
'time_10',0,2543,9210,-5549,3661,-3661,0,14645,14645,-7978,6667,-5398,1269,'byte_10000'
'time_10',9210,2392,3661,-3661,0,14645,14645,-7978,6667,-5398,1269,2758,4027,'byte_2500'
'time_10',3661,-4027,0,14645,14645,-7978,6667,-5398,1269,2758,4027,-4027,0,'byte_4000'
'time_10',0,14645,14645,-7978,6667,-5398,1269,2758,4027,-4027,0,12082,12082,'byte_10000'
'time_10',14645,-5415,6667,-5398,1269,2758,4027,-4027,0,12082,12082,-12074,8,'byte_8500'
'time_11',6667,1261,1269,2758,4027,-4027,0,12082,12082,-12074,8,4020,4028,'byte_7500'
'time_11',1269,-1,4027,-4027,0,12082,12082,-12074,8,4020,4028,6973,11001,'byte_10000'
'time_11',4027,-11001,0,12082,12082,-12074,8,4020,4028,6973,11001,-8687,2314,'byte_4000'
'time_11',0,9768,12082,-12074,8,4020,4028,6973,11001,-8687,2314,1515,3829,'byte_10000'
'time_11',12082,-3821,8,4020,4028,6973,11001,-8687,2314,1515,3829,5906,9735,'byte_4000'
'time_11',8,-5707,4028,6973,11001,-8687,2314,1515,3829,5906,9735,-1676,8059,'byte_1000'
'time_12',4028,2942,11001,-8687,2314,1515,3829,5906,9735,-1676,8059,-738,7321,'byte_7000'
