@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',4030,10745,10745,-5273,5472,9175,14647,-2555,12092,'byte_7500'
'time_0',10745,-6620,5472,9175,14647,-2555,12092,-8429,3663,'byte_6000'
'time_0',5472,10984,14647,-2555,12092,-8429,3663,4392,8055,'byte_4500'
'time_0',14647,4037,12092,-8429,3663,4392,8055,0,8055,'byte_10000'
'time_1',12092,-4392,3663,4392,8055,0,8055,-4393,3662,'byte_10000'
'time_1',3663,4393,8055,0,8055,-4393,3662,365,4027,'byte_500'
'time_1',8055,4028,8055,-4393,3662,365,4027,3300,7327,'byte_500'
'time_1',8055,-3665,3662,365,4027,3300,7327,-1603,5724,'byte_10000'
'time_1',3662,-1697,4027,3300,7327,-1603,5724,-1697,4027,'byte_6000'
'time_1',4027,3300,7327,-1603,5724,-1697,4027,6959,10986,'byte_6000'
'time_2',7327,-5262,5724,-1697,4027,6959,10986,5125,16111,'byte_8500'
'time_2',5724,-12084,4027,6959,10986,5125,16111,-16111,0,'byte_8500'
'time_2',4027,10986,10986,5125,16111,-16111,0,0,0,'byte_500'
'time_2',10986,16111,16111,-16111,0,0,0,12089,12089,'byte_500'
'time_2',16111,-12089,0,0,0,12089,12089,-6232,5857,'byte_500'
'time_2',0,-5857,0,12089,12089,-6232,5857,-196,5661,'byte_500'
'time_3',0,6428,12089,-6232,5857,-196,5661,2395,8056,'byte_4500'
'time_3',12089,-2199,5857,-196,5661,2395,8056,-1,8055,'byte_500'
'time_3',5857,-2394,5661,2395,8056,-1,8055,-8055,0,'byte_500'
'time_3',5661,8056,8056,-1,8055,-8055,0,0,0,'byte_500'
'time_3',8056,8055,8055,-8055,0,0,0,0,0,'byte_500'
'time_4',8055,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,4028,4028,'byte_500'
'time_4',0,-4028,0,0,0,4028,4028,-4028,0,'byte_500'
'time_4',0,0,0,4028,4028,-4028,0,4,4,'byte_500'
'time_4',0,4024,4028,-4028,0,4,4,-4,0,'byte_500'
'time_4',4028,0,0,4,4,-4,0,0,0,'byte_500'
'time_5',0,4,4,-4,0,0,0,4,4,'byte_500'
'time_5',4,-4,0,0,0,4,4,-4,0,'byte_500'
'time_5',0,0,0,4,4,-4,0,0,0,'byte_500'
'time_5',0,4,4,-4,0,0,0,0,0,'byte_500'
'time_5',4,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
