@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1955,0,0,7285,7285,3700,10985,-10928,57,'byte_500'
'time_0',0,7228,7285,3700,10985,-10928,57,3608,3665,'byte_8500'
'time_0',7285,7320,10985,-10928,57,3608,3665,1363,5028,'byte_500'
'time_0',10985,-4971,57,3608,3665,1363,5028,-1999,3029,'byte_500'
'time_1',57,636,3665,1363,5028,-1999,3029,632,3661,'byte_500'
'time_1',3665,1367,5028,-1999,3029,632,3661,368,4029,'byte_10000'
'time_1',5028,-1000,3029,632,3661,368,4029,-4022,7,'byte_500'
'time_1',3029,3654,3661,368,4029,-4022,7,8054,8061,'byte_8500'
'time_1',3661,-4032,4029,-4022,7,8054,8061,-8061,0,'byte_4500'
'time_1',4029,7,7,8054,8061,-8061,0,4,4,'byte_500'
'time_2',7,8057,8061,-8061,0,4,4,-4,0,'byte_500'
'time_2',8061,0,0,4,4,-4,0,12083,12083,'byte_500'
'time_2',0,-12079,4,-4,0,12083,12083,-12073,10,'byte_4000'
'time_2',4,-10,0,12083,12083,-12073,10,8045,8055,'byte_4500'
'time_2',0,4028,12083,-12073,10,8045,8055,-4028,4027,'byte_500'
'time_2',12083,-4017,10,8045,8055,-4028,4027,-4027,0,'byte_7500'
'time_3',10,8055,8055,-4028,4027,-4027,0,173,173,'byte_500'
'time_3',8055,3854,4027,-4027,0,173,173,-173,0,'byte_4500'
'time_3',4027,0,0,173,173,-173,0,3662,3662,'byte_500'
'time_3',0,-3489,173,-173,0,3662,3662,365,4027,'byte_500'
'time_3',173,-4027,0,3662,3662,365,4027,-4027,0,'byte_500'
'time_4',0,3662,3662,365,4027,-4027,0,7323,7323,'byte_500'
'time_4',3662,-3296,4027,-4027,0,7323,7323,-7323,0,'byte_500'
'time_4',4027,0,0,7323,7323,-7323,0,4028,4028,'byte_500'
'time_4',0,3295,7323,-7323,0,4028,4028,-4028,0,'byte_500'
'time_4',7323,0,0,4028,4028,-4028,0,0,0,'byte_500'
'time_4',0,4028,4028,-4028,0,0,0,0,0,'byte_500'
'time_5',4028,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_4000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,3661,3661,'byte_500'
'time_6',0,-3661,0,0,0,3661,3661,-3657,4,'byte_500'
'time_6',0,-4,0,3661,3661,-3657,4,3655,3659,'byte_7500'
'time_7',0,2,3661,-3657,4,3655,3659,369,4028,'byte_500'
'time_7',3661,-4024,4,3655,3659,369,4028,-4028,0,'byte_500'
'time_7',4,3659,3659,369,4028,-4028,0,3661,3661,'byte_4500'
'time_7',3659,367,4028,-4028,0,3661,3661,-3660,1,'byte_4000'
'time_7',4028,-1,0,3661,3661,-3660,1,-1,0,'byte_500'
'time_7',0,3661,3661,-3660,1,-1,0,7322,7322,'byte_500'
'time_8',3661,-7321,1,-1,0,7322,7322,-7322,0,'byte_7500'
'time_8',1,0,0,7322,7322,-7322,0,0,0,'byte_500'
'time_8',0,7322,7322,-7322,0,0,0,4034,4034,'byte_4000'
'time_8',7322,-4034,0,0,0,4034,4034,-373,3661,'byte_8000'
'time_8',0,-3661,0,4034,4034,-373,3661,-3661,0,'byte_500'
'time_9',0,4034,4034,-373,3661,-3661,0,0,0,'byte_500'
'time_9',4034,3661,3661,-3661,0,0,0,7323,7323,'byte_500'
'time_9',3661,-7323,0,0,0,7323,7323,-7323,0,'byte_4000'
'time_9',0,0,0,7323,7323,-7323,0,3825,3825,'byte_500'
'time_9',0,3498,7323,-7323,0,3825,3825,4050,7875,'byte_7500'
'time_9',7323,-7875,0,3825,3825,4050,7875,-7875,0,'byte_8500'
'time_10',0,3825,3825,4050,7875,-7875,0,0,0,'byte_4000'
'time_10',3825,7875,7875,-7875,0,0,0,0,0,'byte_500'
'time_10',7875,0,0,0,0,0,0,3663,3663,'byte_2500'
'time_10',0,-3663,0,0,0,3663,3663,-3663,0,'byte_500'
'time_10',0,0,0,3663,3663,-3663,0,7327,7327,'byte_10000'
'time_10',0,-3664,3663,-3663,0,7327,7327,729,8056,'byte_10000'
'time_11',3663,-8056,0,7327,7327,729,8056,-4395,3661,'byte_10000'
'time_11',0,3666,7327,729,8056,-4395,3661,-3661,0,'byte_7500'
'time_11',7327,8056,8056,-4395,3661,-3661,0,2498,2498,'byte_500'
'time_11',8056,1163,3661,-3661,0,2498,2498,-2317,181,'byte_7500'
'time_11',3661,-181,0,2498,2498,-2317,181,19779,19960,'byte_10000'
'time_11',0,-17462,2498,-2317,181,19779,19960,-5313,14647,'byte_10000'
'time_12',2498,-14466,181,19779,19960,-5313,14647,-2563,12084,'byte_500'
'time_12',181,7876,19960,-5313,14647,-2563,12084,-4760,7324,'byte_4500'
'time_12',19960,7323,14647,-2563,12084,-4760,7324,-7324,0,'byte_4000'
'time_12',14647,12084,12084,-4760,7324,-7324,0,7238,7238,'byte_4500'
'time_12',12084,86,7324,-7324,0,7238,7238,4844,12082,'byte_10000'
'time_13',7324,-12082,0,7238,7238,4844,12082,-1098,10984,'byte_10000'
'time_13',0,-3746,7238,4844,12082,-1098,10984,-10979,5,'byte_10000'
'time_13',7238,12077,12082,-1098,10984,-10979,5,4019,4024,'byte_10000'
'time_13',12082,6960,10984,-10979,5,4019,4024,-362,3662,'byte_8500'
'time_13',10984,-3657,5,4019,4024,-362,3662,369,4031,'byte_7500'
'time_13',5,-7,4024,-362,3662,369,4031,7894,11925,'byte_6000'
'time_14',4024,-8263,3662,369,4031,7894,11925,-1284,10641,'byte_2500'
'time_14',3662,-6610,4031,7894,11925,-1284,10641,345,10986,'byte_4500'
'time_14',4031,939,11925,-1284,10641,345,10986,1097,12083,'byte_7500'
'time_14',11925,-1442,10641,345,10986,1097,12083,-3987,8096,'byte_4500'
'time_14',10641,2890,10986,1097,12083,-3987,8096,-772,7324,'byte_4500'
'time_14',10986,4759,12083,-3987,8096,-772,7324,-1684,5640,'byte_7500'
'time_15',12083,2456,8096,-772,7324,-1684,5640,-3444,2196,'byte_8500'
'time_15',8096,5128,7324,-1684,5640,-3444,2196,1832,4028,'byte_5500'
'time_15',7324,1612,5640,-3444,2196,1832,4028,3299,7327,'byte_2500'
'time_15',5640,-5131,2196,1832,4028,3299,7327,-3298,4029,'byte_4000'
'time_15',2196,-1,4028,3299,7327,-3298,4029,-3,4026,'byte_4500'
'time_15',4028,3301,7327,-3298,4029,-3,4026,3298,7324,'byte_4500'
'time_16',7327,-3295,4029,-3,4026,3298,7324,736,8060,'byte_10000'
'time_16',4029,-4034,4026,3298,7324,736,8060,-2622,5438,'byte_8500'
'time_16',4026,1886,7324,736,8060,-2622,5438,-3362,2076,'byte_500'
'time_16',7324,5984,8060,-2622,5438,-3362,2076,1587,3663,'byte_4000'
'time_16',8060,1775,5438,-3362,2076,1587,3663,365,4028,'byte_4500'
'time_17',5438,-1952,2076,1587,3663,365,4028,-1,4027,'byte_500'
'time_17',2076,-364,3663,365,4028,-1,4027,10621,14648,'byte_4000'
'time_17',3663,-10620,4028,-1,4027,10621,14648,-6593,8055,'byte_4500'
'time_17',4028,-4028,4027,10621,14648,-6593,8055,-8054,1,'byte_7500'
'time_17',4027,14647,14648,-6593,8055,-8054,1,3667,3668,'byte_4000'
'time_17',14648,4387,8055,-8054,1,3667,3668,360,4028,'byte_4500'
'time_18',8055,-4027,1,3667,3668,360,4028,-4028,0,'byte_500'
'time_18',1,3668,3668,360,4028,-4028,0,3663,3663,'byte_10000'
'time_18',3668,365,4028,-4028,0,3663,3663,362,4025,'byte_7500'
'time_18',4028,-4025,0,3663,3663,362,4025,3298,7323,'byte_500'
'time_18',0,-3660,3663,362,4025,3298,7323,-3659,3664,'byte_7500'
'time_18',3663,361,4025,3298,7323,-3659,3664,364,4028,'byte_4500'
'time_19',4025,3295,7323,-3659,3664,364,4028,-4028,0,'byte_4000'
'time_19',7323,3664,3664,364,4028,-4028,0,12086,12086,'byte_500'
'time_19',3664,-8058,4028,-4028,0,12086,12086,-4762,7324,'byte_7500'
'time_19',4028,-7324,0,12086,12086,-4762,7324,-7324,0,'byte_4500'
'time_19',0,12086,12086,-4762,7324,-7324,0,7331,7331,'byte_4000'
'time_19',12086,-7,7324,-7324,0,7331,7331,-3311,4020,'byte_4500'
'time_20',7324,-4020,0,7331,7331,-3311,4020,-358,3662,'byte_500'
'time_20',0,3669,7331,-3311,4020,-358,3662,-3662,0,'byte_5000'
'time_20',7331,4020,4020,-358,3662,-3662,0,7323,7323,'byte_7500'
'time_20',4020,-3661,3662,-3662,0,7323,7323,-3293,4030,'byte_500'
'time_20',3662,-4030,0,7323,7323,-3293,4030,-365,3665,'byte_10000'
'time_21',0,3658,7323,-3293,4030,-365,3665,363,4028,'byte_7500'
'time_21',7323,2,4030,-365,3665,363,4028,-4028,0,'byte_4500'
'time_21',4030,3665,3665,363,4028,-4028,0,4654,4654,'byte_10000'
'time_21',3665,-626,4028,-4028,0,4654,4654,2670,7324,'byte_10000'
'time_21',4028,-7324,0,4654,4654,2670,7324,-7324,0,'byte_10000'
'time_21',0,4654,4654,2670,7324,-7324,0,12087,12087,'byte_4500'
'time_22',4654,-4763,7324,-7324,0,12087,12087,-4763,7324,'byte_10000'
'time_22',7324,-7324,0,12087,12087,-4763,7324,-3292,4032,'byte_2000'
'time_22',0,8055,12087,-4763,7324,-3292,4032,10035,14067,'byte_500'
'time_22',12087,-6743,7324,-3292,4032,10035,14067,2045,16112,'byte_7500'
'time_22',7324,-12080,4032,10035,14067,2045,16112,-5127,10985,'byte_10000'
'time_22',4032,3082,14067,2045,16112,-5127,10985,-6954,4031,'byte_500'
