@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',781,29299,29299,-29139,160,57649,57809,-25567,32242,-3571,28671,-28413,258,'byte_10000'
'time_0',29299,-98,160,57649,57809,-25567,32242,-3571,28671,-28413,258,73704,73962,'byte_500'
'time_0',160,-16153,57809,-25567,32242,-3571,28671,-28413,258,73704,73962,-44529,29433,'byte_500'
'time_0',57809,2809,32242,-3571,28671,-28413,258,73704,73962,-44529,29433,34871,64304,'byte_500'
'time_0',32242,-35633,28671,-28413,258,73704,73962,-44529,29433,34871,64304,-64205,99,'byte_500'
'time_0',28671,159,258,73704,73962,-44529,29433,34871,64304,-64205,99,32093,32192,'byte_500'
'time_1',258,41770,73962,-44529,29433,34871,64304,-64205,99,32093,32192,-2837,29355,'byte_500'
'time_1',73962,78,29433,34871,64304,-64205,99,32093,32192,-2837,29355,2869,32224,'byte_500'
'time_1',29433,32080,64304,-64205,99,32093,32192,-2837,29355,2869,32224,-31925,299,'byte_10000'
'time_1',64304,-200,99,32093,32192,-2837,29355,2869,32224,-31925,299,32037,32336,'byte_500'
'time_1',99,-144,32192,-2837,29355,2869,32224,-31925,299,32037,32336,26296,58632,'byte_10000'
'time_1',32192,-29277,29355,2869,32224,-31925,299,32037,32336,26296,58632,-29349,29283,'byte_10000'
'time_2',29355,2941,32224,-31925,299,32037,32336,26296,58632,-29349,29283,-29283,0,'byte_500'
'time_2',32224,299,299,32037,32336,26296,58632,-29349,29283,-29283,0,0,0,'byte_500'
'time_2',299,32336,32336,26296,58632,-29349,29283,-29283,0,0,0,0,0,'byte_500'
'time_2',32336,58632,58632,-29349,29283,-29283,0,0,0,0,0,0,0,'byte_500'
'time_2',58632,29283,29283,-29283,0,0,0,0,0,0,0,0,0,'byte_500'
'time_2',29283,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,0,0,64449,64449,'byte_500'
'time_3',0,-64449,0,0,0,0,0,0,0,64449,64449,-64449,0,'byte_500'
'time_3',0,0,0,0,0,0,0,64449,64449,-64449,0,32224,32224,'byte_500'
'time_3',0,-32224,0,0,0,64449,64449,-64449,0,32224,32224,-2929,29295,'byte_500'
'time_4',0,-29295,0,64449,64449,-64449,0,32224,32224,-2929,29295,-29295,0,'byte_500'
'time_4',0,64449,64449,-64449,0,32224,32224,-2929,29295,-29295,0,0,0,'byte_10000'
'time_4',64449,0,0,32224,32224,-2929,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',0,32224,32224,-2929,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_4',32224,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_6',0,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_6',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,32224,32224,-32224,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',32224,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_10000'
'time_7',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_500'
'time_7',0,0,0,0,0,0,0,29295,29295,-29295,0,29295,29295,'byte_500'
'time_8',0,-29295,0,0,0,29295,29295,-29295,0,29295,29295,-29295,0,'byte_500'
'time_8',0,0,0,29295,29295,-29295,0,29295,29295,-29295,0,29295,29295,'byte_10000'
'time_8',0,0,29295,-29295,0,29295,29295,-29295,0,29295,29295,-29288,7,'byte_1000'
'time_8',29295,-7,0,29295,29295,-29295,0,29295,29295,-29288,7,32210,32217,'byte_10000'
'time_8',0,-2922,29295,-29295,0,29295,29295,-29288,7,32210,32217,-2922,29295,'byte_500'
'time_8',29295,-29295,0,29295,29295,-29288,7,32210,32217,-2922,29295,-29295,0,'byte_500'
'time_9',0,29295,29295,-29288,7,32210,32217,-2922,29295,-29295,0,0,0,'byte_10000'
'time_9',29295,7,7,32210,32217,-2922,29295,-29295,0,0,0,0,0,'byte_500'
'time_9',7,32217,32217,-2922,29295,-29295,0,0,0,0,0,32224,32224,'byte_10000'
'time_9',32217,-2929,29295,-29295,0,0,0,0,0,32224,32224,-32212,12,'byte_10000'
'time_9',29295,-12,0,0,0,0,0,32224,32224,-32212,12,-12,0,'byte_10000'
'time_10',0,0,0,0,0,32224,32224,-32212,12,-12,0,0,0,'byte_1000'
'time_10',0,0,0,32224,32224,-32212,12,-12,0,0,0,31367,31367,'byte_500'
'time_10',0,857,32224,-32212,12,-12,0,0,0,31367,31367,-30576,791,'byte_500'
'time_10',32224,-779,12,-12,0,0,0,31367,31367,-30576,791,31433,32224,'byte_500'
'time_10',12,-32224,0,0,0,31367,31367,-30576,791,31433,32224,-32224,0,'byte_10000'
'time_10',0,0,0,31367,31367,-30576,791,31433,32224,-32224,0,29,29,'byte_10000'
'time_11',0,31338,31367,-30576,791,31433,32224,-32224,0,29,29,32195,32224,'byte_10000'
'time_11',31367,-31433,791,31433,32224,-32224,0,29,29,32195,32224,-32218,6,'byte_10000'
'time_11',791,32218,32224,-32224,0,29,29,32195,32224,-32218,6,112598,112604,'byte_500'
'time_11',32224,-112604,0,29,29,32195,32224,-32218,6,112598,112604,-54014,58590,'byte_500'
'time_11',0,-58561,29,32195,32224,-32218,6,112598,112604,-54014,58590,-26113,32477,'byte_10000'
'time_11',29,-253,32224,-32218,6,112598,112604,-54014,58590,-26113,32477,-31528,949,'byte_10000'
'time_12',32224,-943,6,112598,112604,-54014,58590,-26113,32477,-31528,949,-914,35,'byte_1000'
'time_12',6,112569,112604,-54014,58590,-26113,32477,-31528,949,-914,35,23,58,'byte_500'
'time_12',112604,58532,58590,-26113,32477,-31528,949,-914,35,23,58,-58,0,'byte_500'
'time_12',58590,32477,32477,-31528,949,-914,35,23,58,-58,0,87956,87956,'byte_500'
'time_12',32477,-87007,949,-914,35,23,58,-58,0,87956,87956,-58424,29532,'byte_500'
'time_13',949,-29497,35,23,58,-58,0,87956,87956,-58424,29532,2553,32085,'byte_500'
'time_13',35,-32027,58,-58,0,87956,87956,-58424,29532,2553,32085,-2765,29320,'byte_500'
'time_13',58,-29320,0,87956,87956,-58424,29532,2553,32085,-2765,29320,-29060,260,'byte_500'
'time_13',0,87696,87956,-58424,29532,2553,32085,-2765,29320,-29060,260,-240,20,'byte_500'
'time_13',87956,29512,29532,2553,32085,-2765,29320,-29060,260,-240,20,30078,30098,'byte_500'
'time_13',29532,1987,32085,-2765,29320,-29060,260,-240,20,30078,30098,-568,29530,'byte_500'
'time_14',32085,-210,29320,-29060,260,-240,20,30078,30098,-568,29530,-29004,526,'byte_500'
'time_14',29320,-266,260,-240,20,30078,30098,-568,29530,-29004,526,-397,129,'byte_500'
'time_14',260,-109,20,30078,30098,-568,29530,-29004,526,-397,129,43,172,'byte_500'
'time_14',20,29926,30098,-568,29530,-29004,526,-397,129,43,172,42,214,'byte_500'
'time_14',30098,29316,29530,-29004,526,-397,129,43,172,42,214,-102,112,'byte_500'
'time_14',29530,414,526,-397,129,43,172,42,214,-102,112,114,226,'byte_500'
'time_15',526,-97,129,43,172,42,214,-102,112,114,226,139,365,'byte_1000'
'time_15',129,-193,172,42,214,-102,112,114,226,139,365,-319,46,'byte_500'
'time_15',172,168,214,-102,112,114,226,139,365,-319,46,286,332,'byte_500'
'time_15',214,-220,112,114,226,139,365,-319,46,286,332,17,349,'byte_500'
'time_15',112,-123,226,139,365,-319,46,286,332,17,349,31,380,'byte_500'
'time_16',226,-15,365,-319,46,286,332,17,349,31,380,-34,346,'byte_500'
'time_16',365,-300,46,286,332,17,349,31,380,-34,346,-267,79,'byte_1000'
'time_16',46,253,332,17,349,31,380,-34,346,-267,79,-32,47,'byte_1000'
'time_16',332,302,349,31,380,-34,346,-267,79,-32,47,384,431,'byte_500'
'time_16',349,-51,380,-34,346,-267,79,-32,47,384,431,-298,133,'byte_500'
'time_16',380,213,346,-267,79,-32,47,384,431,-298,133,-92,41,'byte_500'
'time_17',346,38,79,-32,47,384,431,-298,133,-92,41,493,534,'byte_500'
'time_17',79,-487,47,384,431,-298,133,-92,41,493,534,-66,468,'byte_1000'
'time_17',47,-37,431,-298,133,-92,41,493,534,-66,468,-23,445,'byte_500'
'time_17',431,-312,133,-92,41,493,534,-66,468,-23,445,-442,3,'byte_1000'
