@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',40,4743,4743,9257,14000,655,14655,-6514,8141,6434,14575,-2485,12090,'byte_500'
'time_0',4743,1910,14000,655,14655,-6514,8141,6434,14575,-2485,12090,-8730,3360,'byte_8500'
'time_0',14000,11295,14655,-6514,8141,6434,14575,-2485,12090,-8730,3360,301,3661,'byte_4000'
'time_0',14655,4480,8141,6434,14575,-2485,12090,-8730,3360,301,3661,367,4028,'byte_4500'
'time_0',8141,10547,14575,-2485,12090,-8730,3360,301,3661,367,4028,-367,3661,'byte_500'
'time_0',14575,8429,12090,-8730,3360,301,3661,367,4028,-367,3661,368,4029,'byte_4500'
'time_1',12090,-669,3360,301,3661,367,4028,-367,3661,368,4029,-363,3666,'byte_4000'
'time_1',3360,-5,3661,367,4028,-367,3661,368,4029,-363,3666,360,4026,'byte_500'
'time_1',3661,2,4028,-367,3661,368,4029,-363,3666,360,4026,-363,3663,'byte_4000'
'time_1',4028,-2,3661,368,4029,-363,3666,360,4026,-363,3663,-506,3157,'byte_500'
'time_1',3661,872,4029,-363,3666,360,4026,-363,3663,-506,3157,-3157,0,'byte_500'
'time_1',4029,3666,3666,360,4026,-363,3663,-506,3157,-3157,0,16112,16112,'byte_4500'
'time_2',3666,-12086,4026,-363,3663,-506,3157,-3157,0,16112,16112,-16112,0,'byte_500'
'time_2',4026,3663,3663,-506,3157,-3157,0,16112,16112,-16112,0,0,0,'byte_500'
'time_2',3663,3157,3157,-3157,0,16112,16112,-16112,0,0,0,4,4,'byte_500'
'time_2',3157,-4,0,16112,16112,-16112,0,0,0,4,4,4020,4024,'byte_500'
'time_2',0,12088,16112,-16112,0,0,0,4,4,4020,4024,-4024,0,'byte_500'
'time_3',16112,0,0,0,0,4,4,4020,4024,-4024,0,8055,8055,'byte_500'
'time_3',0,-8055,0,4,4,4020,4024,-4024,0,8055,8055,-4393,3662,'byte_500'
'time_3',0,-3658,4,4020,4024,-4024,0,8055,8055,-4393,3662,365,4027,'byte_500'
'time_3',4,-3,4024,-4024,0,8055,8055,-4393,3662,365,4027,-4027,0,'byte_4500'
'time_3',4024,0,0,8055,8055,-4393,3662,365,4027,-4027,0,4027,4027,'byte_500'
'time_3',0,4028,8055,-4393,3662,365,4027,-4027,0,4027,4027,-365,3662,'byte_500'
'time_4',8055,0,3662,365,4027,-4027,0,4027,4027,-365,3662,-3662,0,'byte_500'
'time_4',3662,4027,4027,-4027,0,4027,4027,-365,3662,-3662,0,3661,3661,'byte_7500'
'time_4',4027,-3661,0,4027,4027,-365,3662,-3662,0,3661,3661,-3661,0,'byte_500'
'time_4',0,4027,4027,-365,3662,-3662,0,3661,3661,-3661,0,0,0,'byte_4000'
'time_4',4027,3662,3662,-3662,0,3661,3661,-3661,0,0,0,4028,4028,'byte_4500'
'time_4',3662,-4028,0,3661,3661,-3661,0,0,0,4028,4028,-4028,0,'byte_500'
'time_5',0,3661,3661,-3661,0,0,0,4028,4028,-4028,0,0,0,'byte_8500'
'time_5',3661,0,0,0,0,4028,4028,-4028,0,0,0,0,0,'byte_4000'
'time_5',0,0,0,4028,4028,-4028,0,0,0,0,0,0,0,'byte_500'
'time_5',0,4028,4028,-4028,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',4028,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,4027,4027,'byte_10000'
'time_6',0,-4027,0,0,0,0,0,0,0,4027,4027,-4027,0,'byte_8500'
'time_6',0,0,0,0,0,0,0,4027,4027,-4027,0,1,1,'byte_500'
'time_6',0,-1,0,0,0,4027,4027,-4027,0,1,1,-1,0,'byte_10000'
'time_7',0,0,0,4027,4027,-4027,0,1,1,-1,0,7323,7323,'byte_4000'
'time_7',0,-3296,4027,-4027,0,1,1,-1,0,7323,7323,-7323,0,'byte_8500'
'time_7',4027,0,0,1,1,-1,0,7323,7323,-7323,0,3663,3663,'byte_4000'
'time_7',0,-3662,1,-1,0,7323,7323,-7323,0,3663,3663,365,4028,'byte_8500'
'time_7',1,-4028,0,7323,7323,-7323,0,3663,3663,365,4028,-4028,0,'byte_500'
'time_7',0,7323,7323,-7323,0,3663,3663,365,4028,-4028,0,8054,8054,'byte_8000'
'time_8',7323,-8054,0,3663,3663,365,4028,-4028,0,8054,8054,-4389,3665,'byte_500'
'time_8',0,-2,3663,365,4028,-4028,0,8054,8054,-4389,3665,-3665,0,'byte_4500'
'time_8',3663,4028,4028,-4028,0,8054,8054,-4389,3665,-3665,0,0,0,'byte_8500'
'time_8',4028,0,0,8054,8054,-4389,3665,-3665,0,0,0,2,2,'byte_4500'
'time_8',0,8052,8054,-4389,3665,-3665,0,0,0,2,2,3658,3660,'byte_10000'
'time_8',8054,5,3665,-3665,0,0,0,2,2,3658,3660,367,4027,'byte_10000'
'time_9',3665,-4027,0,0,0,2,2,3658,3660,367,4027,6974,11001,'byte_4500'
'time_9',0,-11001,0,2,2,3658,3660,367,4027,6974,11001,-2946,8055,'byte_10000'
'time_9',0,-8053,2,3658,3660,367,4027,6974,11001,-2946,8055,-8051,4,'byte_2500'
'time_9',2,3656,3660,367,4027,6974,11001,-2946,8055,-8051,4,12077,12081,'byte_10000'
'time_9',3660,-8054,4027,6974,11001,-2946,8055,-8051,4,12077,12081,-8419,3662,'byte_8500'
'time_10',4027,7339,11001,-2946,8055,-8051,4,12077,12081,-8419,3662,4394,8056,'byte_500'
'time_10',11001,-1,8055,-8051,4,12077,12081,-8419,3662,4394,8056,-4392,3664,'byte_10000'
'time_10',8055,-3660,4,12077,12081,-8419,3662,4394,8056,-4392,3664,4393,8057,'byte_7500'
'time_10',4,4024,12081,-8419,3662,4394,8056,-4392,3664,4393,8057,-8015,42,'byte_3500'
'time_10',12081,3620,3662,4394,8056,-4392,3664,4393,8057,-8015,42,7598,7640,'byte_4500'
'time_10',3662,416,8056,-4392,3664,4393,8057,-8015,42,7598,7640,-7304,336,'byte_10000'
'time_11',8056,3328,3664,4393,8057,-8015,42,7598,7640,-7304,336,3693,4029,'byte_10000'
'time_11',3664,4028,8057,-8015,42,7598,7640,-7304,336,3693,4029,4013,8042,'byte_10000'
'time_11',8057,-8000,42,7598,7640,-7304,336,3693,4029,4013,8042,-4002,4040,'byte_7500'
'time_11',42,3600,7640,-7304,336,3693,4029,4013,8042,-4002,4040,6935,10975,'byte_500'
'time_11',7640,-10639,336,3693,4029,4013,8042,-4002,4040,6935,10975,130,11105,'byte_7500'
'time_11',336,-7076,4029,4013,8042,-4002,4040,6935,10975,130,11105,-7078,4027,'byte_8500'
'time_12',4029,4015,8042,-4002,4040,6935,10975,130,11105,-7078,4027,6963,10990,'byte_4000'
'time_12',8042,-6950,4040,6935,10975,130,11105,-7078,4027,6963,10990,-8929,2061,'byte_4500'
'time_12',4040,8914,10975,130,11105,-7078,4027,6963,10990,-8929,2061,8925,10986,'byte_500'
'time_12',10975,119,11105,-7078,4027,6963,10990,-8929,2061,8925,10986,-2928,8058,'byte_4500'
'time_12',11105,-4031,4027,6963,10990,-8929,2061,8925,10986,-2928,8058,-8057,1,'byte_7500'
'time_12',4027,10989,10990,-8929,2061,8925,10986,-2928,8058,-8057,1,16817,16818,'byte_4500'
'time_13',10990,-14757,2061,8925,10986,-2928,8058,-8057,1,16817,16818,-9490,7328,'byte_10000'
'time_13',2061,3658,10986,-2928,8058,-8057,1,16817,16818,-9490,7328,-3882,3446,'byte_8500'
