@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',34,0,0,128898,128898,-128788,110,32062,32172,'byte_10000'
'time_0',0,96726,128898,-128788,110,32062,32172,26564,58736,'byte_10000'
'time_0',128898,-58626,110,32062,32172,26564,58736,5675,64411,'byte_500'
'time_0',110,-32239,32172,26564,58736,5675,64411,-55617,8794,'byte_500'
'time_0',32172,49942,58736,5675,64411,-55617,8794,13854,22648,'byte_10000'
'time_0',58736,41763,64411,-55617,8794,13854,22648,36085,58733,'byte_500'
'time_1',64411,-49939,8794,13854,22648,36085,58733,-58672,61,'byte_500'
'time_1',8794,22587,22648,36085,58733,-58672,61,58632,58693,'byte_500'
'time_1',22648,40,58733,-58672,61,58632,58693,5805,64498,'byte_500'
'time_1',58733,-64437,61,58632,58693,5805,64498,-35160,29338,'byte_500'
'time_1',61,29355,58693,5805,64498,-35160,29338,-29253,85,'byte_500'
'time_1',58693,64413,64498,-35160,29338,-29253,85,29274,29359,'byte_10000'
'time_2',64498,-21,29338,-29253,85,29274,29359,2906,32265,'byte_500'
'time_2',29338,-32180,85,29274,29359,2906,32265,-2974,29291,'byte_500'
'time_2',85,68,29359,2906,32265,-2974,29291,3293,32584,'byte_500'
'time_2',29359,-319,32265,-2974,29291,3293,32584,-32393,191,'byte_10000'
'time_2',32265,29100,29291,3293,32584,-32393,191,68667,68858,'byte_10000'
'time_2',29291,-36274,32584,-32393,191,68667,68858,-43641,25217,'byte_10000'
'time_3',32584,-25026,191,68667,68858,-43641,25217,-25217,0,'byte_500'
'time_3',191,68858,68858,-43641,25217,-25217,0,0,0,'byte_500'
'time_3',68858,25217,25217,-25217,0,0,0,29296,29296,'byte_500'
'time_3',25217,-29296,0,0,0,29296,29296,-29265,31,'byte_500'
'time_3',0,-31,0,29296,29296,-29265,31,-31,0,'byte_500'
'time_4',0,29296,29296,-29265,31,-31,0,0,0,'byte_500'
'time_4',29296,31,31,-31,0,0,0,0,0,'byte_500'
'time_4',31,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_5',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_5',0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_5',32224,0,0,0,0,0,0,20473,20473,'byte_500'
'time_5',0,-20473,0,0,0,20473,20473,-8721,11752,'byte_500'
'time_5',0,-11752,0,20473,20473,-8721,11752,17543,29295,'byte_10000'
'time_5',0,-8822,20473,-8721,11752,17543,29295,-29295,0,'byte_500'
'time_6',20473,11752,11752,17543,29295,-29295,0,0,0,'byte_500'
'time_6',11752,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_6',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,32224,32224,'byte_9000'
'time_7',0,-32224,0,0,0,32224,32224,-2929,29295,'byte_500'
'time_7',0,-29295,0,32224,32224,-2929,29295,-29295,0,'byte_10000'
'time_7',0,32224,32224,-2929,29295,-29295,0,29295,29295,'byte_10000'
'time_8',32224,0,29295,-29295,0,29295,29295,-29295,0,'byte_10000'
'time_8',29295,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_8',0,29295,29295,-29295,0,0,0,64449,64449,'byte_500'
'time_8',29295,-64449,0,0,0,64449,64449,-64420,29,'byte_4500'
'time_8',0,-29,0,64449,64449,-64420,29,-29,0,'byte_10000'
'time_9',0,64449,64449,-64420,29,-29,0,32224,32224,'byte_10000'
'time_9',64449,-32195,29,-29,0,32224,32224,-32224,0,'byte_10000'
'time_9',29,0,0,32224,32224,-32224,0,32256,32256,'byte_10000'
'time_9',0,-32,32224,-32224,0,32256,32256,-2990,29266,'byte_10000'
'time_9',32224,-29266,0,32256,32256,-2990,29266,-29234,32,'byte_10000'
'time_9',0,32224,32256,-2990,29266,-29234,32,-32,0,'byte_10000'
'time_10',32256,29266,29266,-29234,32,-32,0,32232,32232,'byte_10000'
'time_10',29266,-32200,32,-32,0,32232,32232,-23537,8695,'byte_500'
'time_10',32,-8695,0,32232,32232,-23537,8695,-8695,0,'byte_10000'
'time_10',0,32232,32232,-23537,8695,-8695,0,64449,64449,'byte_3500'
'time_10',32232,-55754,8695,-8695,0,64449,64449,-35154,29295,'byte_10000'
'time_10',8695,-29295,0,64449,64449,-35154,29295,2943,32238,'byte_10000'
'time_11',0,32211,64449,-35154,29295,2943,32238,-2943,29295,'byte_10000'
'time_11',64449,0,29295,2943,32238,-2943,29295,-29295,0,'byte_1000'
'time_11',29295,32238,32238,-2943,29295,-29295,0,4034,4034,'byte_500'
'time_11',32238,25261,29295,-29295,0,4034,4034,32448,36482,'byte_500'
'time_11',29295,-36482,0,4034,4034,32448,36482,-7152,29330,'byte_500'
'time_12',0,-25296,4034,32448,36482,-7152,29330,2894,32224,'byte_500'
'time_12',4034,4258,36482,-7152,29330,2894,32224,31105,63329,'byte_500'
'time_12',36482,-33999,29330,2894,32224,31105,63329,-33846,29483,'byte_500'
'time_12',29330,2741,32224,31105,63329,-33846,29483,34816,64299,'byte_1000'
'time_12',32224,-970,63329,-33846,29483,34816,64299,-5592,58707,'byte_1000'
'time_12',63329,-29224,29483,34816,64299,-5592,58707,-27442,31265,'byte_500'
'time_13',29483,33034,64299,-5592,58707,-27442,31265,-31177,88,'byte_500'
'time_13',64299,58619,58707,-27442,31265,-31177,88,28972,29060,'byte_500'
'time_13',58707,2205,31265,-31177,88,28972,29060,-26047,3013,'byte_500'
'time_13',31265,-2925,88,28972,29060,-26047,3013,29335,32348,'byte_500'
'time_13',88,-3288,29060,-26047,3013,29335,32348,-2900,29448,'byte_500'
'time_13',29060,-26435,3013,29335,32348,-2900,29448,-14567,14881,'byte_500'
'time_14',3013,17467,32348,-2900,29448,-14567,14881,-14304,577,'byte_1000'
'time_14',32348,28871,29448,-14567,14881,-14304,577,-388,189,'byte_1000'
'time_14',29448,14692,14881,-14304,577,-388,189,-5,184,'byte_1000'
'time_14',14881,393,577,-388,189,-5,184,193,377,'byte_500'
'time_14',577,-188,189,-5,184,193,377,-247,130,'byte_500'
'time_14',189,54,184,193,377,-247,130,49,179,'byte_1000'
'time_15',184,198,377,-247,130,49,179,59,238,'byte_500'
'time_15',377,-108,130,49,179,59,238,320,558,'byte_500'
'time_15',130,-379,179,59,238,320,558,97,655,'byte_1500'
'time_15',179,-417,238,320,558,97,655,-368,287,'byte_500'
'time_15',238,271,558,97,655,-368,287,-233,54,'byte_1000'
'time_16',558,601,655,-368,287,-233,54,343,397,'byte_500'
'time_16',655,-110,287,-233,54,343,397,51,448,'byte_1000'
'time_16',287,-394,54,343,397,51,448,-339,109,'byte_500'
'time_16',54,288,397,51,448,-339,109,384,493,'byte_1000'
'time_16',397,-45,448,-339,109,384,493,-322,171,'byte_500'
'time_16',448,-62,109,384,493,-322,171,385,556,'byte_500'
'time_17',109,-63,493,-322,171,385,556,-49,507,'byte_1000'
'time_17',493,-336,171,385,556,-49,507,341,848,'byte_500'
'time_17',171,-292,556,-49,507,341,848,-803,45,'byte_1000'
'time_17',556,462,507,341,848,-803,45,88,133,'byte_1000'
'time_17',507,715,848,-803,45,88,133,451,584,'byte_1000'
'time_18',848,-539,45,88,133,451,584,-188,396,'byte_500'
'time_18',45,-263,133,451,584,-188,396,58,454,'byte_500'
'time_18',133,130,584,-188,396,58,454,637,1091,'byte_1000'
'time_18',584,-695,396,58,454,637,1091,-961,130,'byte_1000'
'time_18',396,324,454,637,1091,-961,130,777,907,'byte_1000'
'time_18',454,184,1091,-961,130,777,907,-642,265,'byte_1000'
'time_19',1091,-135,130,777,907,-642,265,524,789,'byte_1000'
'time_19',130,118,907,-642,265,524,789,-438,351,'byte_1000'
'time_19',907,-86,265,524,789,-438,351,436,787,'byte_500'
'time_19',265,2,789,-438,351,436,787,-776,11,'byte_1000'
'time_19',789,340,351,436,787,-776,11,373,384,'byte_1000'
'time_19',351,403,787,-776,11,373,384,586,970,'byte_1500'
'time_20',787,-959,11,373,384,586,970,-889,81,'byte_1000'
'time_20',11,303,384,586,970,-889,81,666,747,'byte_500'
'time_20',384,223,970,-889,81,666,747,-218,529,'byte_500'
'time_20',970,-448,81,666,747,-218,529,255,784,'byte_10000'
'time_20',81,-37,747,-218,529,255,784,-338,446,'byte_500'
'time_21',747,83,529,255,784,-338,446,-182,264,'byte_10000'
'time_21',529,520,784,-338,446,-182,264,439,703,'byte_10000'
'time_21',784,-257,446,-182,264,439,703,172,875,'byte_10000'
'time_21',446,-611,264,439,703,172,875,-272,603,'byte_9000'
'time_21',264,100,703,172,875,-272,603,316,919,'byte_10000'
'time_21',703,-44,875,-272,603,316,919,-218,701,'byte_10000'
'time_22',875,-98,603,316,919,-218,701,280,981,'byte_500'
'time_22',603,-62,919,-218,701,280,981,-980,1,'byte_10000'
'time_22',919,700,701,280,981,-980,1,686,687,'byte_10000'
'time_22',701,294,981,-980,1,686,687,-185,502,'byte_10000'
