@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',12083,3868,3868,-366,3502,4757,8259,12144,20403,'byte_500'
'time_0',3868,-16901,3502,4757,8259,12144,20403,-16740,3663,'byte_10000'
'time_0',3502,4596,8259,12144,20403,-16740,3663,364,4027,'byte_500'
'time_0',8259,16376,20403,-16740,3663,364,4027,-2337,1690,'byte_500'
'time_1',20403,1973,3663,364,4027,-2337,1690,11421,13111,'byte_500'
'time_1',3663,-9084,4027,-2337,1690,11421,13111,-13107,4,'byte_500'
'time_1',4027,1686,1690,11421,13111,-13107,4,18315,18319,'byte_4500'
'time_1',1690,-5208,13111,-13107,4,18315,18319,-14288,4031,'byte_500'
'time_1',13111,-4027,4,18315,18319,-14288,4031,-4029,2,'byte_4000'
'time_1',4,18317,18319,-14288,4031,-4029,2,3659,3661,'byte_500'
'time_2',18319,370,4031,-4029,2,3659,3661,-3105,556,'byte_500'
'time_2',4031,-554,2,3659,3661,-3105,556,2915,3471,'byte_4000'
'time_2',2,190,3661,-3105,556,2915,3471,-3469,2,'byte_500'
'time_2',3661,554,556,2915,3471,-3469,2,-2,0,'byte_500'
'time_2',556,3471,3471,-3469,2,-2,0,0,0,'byte_1000'
'time_2',3471,2,2,-2,0,0,0,10578,10578,'byte_500'
'time_3',2,-10578,0,0,0,10578,10578,-10578,0,'byte_500'
'time_3',0,0,0,10578,10578,-10578,0,12084,12084,'byte_500'
'time_3',0,-1506,10578,-10578,0,12084,12084,-12084,0,'byte_500'
'time_3',10578,0,0,12084,12084,-12084,0,0,0,'byte_500'
'time_3',0,12084,12084,-12084,0,0,0,0,0,'byte_1000'
'time_4',12084,0,0,0,0,0,0,2,2,'byte_3500'
'time_4',0,-2,0,0,0,2,2,4023,4025,'byte_500'
'time_4',0,-4025,0,2,2,4023,4025,-4021,4,'byte_500'
'time_4',0,-2,2,4023,4025,-4021,4,3654,3658,'byte_4500'
