@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',10986,0,0,7327,7327,-1,7326,117,7443,-2246,5197,-2856,2341,'byte_7500'
'time_0',0,4986,7327,-1,7326,117,7443,-2246,5197,-2856,2341,1022,3363,'byte_4500'
'time_0',7327,3963,7326,117,7443,-2246,5197,-2856,2341,1022,3363,-1147,2216,'byte_500'
'time_0',7326,5227,7443,-2246,5197,-2856,2341,1022,3363,-1147,2216,11459,13675,'byte_4500'
'time_0',7443,-8478,5197,-2856,2341,1022,3363,-1147,2216,11459,13675,-13673,2,'byte_4000'
'time_0',5197,2339,2341,1022,3363,-1147,2216,11459,13675,-13673,2,4025,4027,'byte_500'
'time_1',2341,-664,3363,-1147,2216,11459,13675,-13673,2,4025,4027,3308,7335,'byte_500'
'time_1',3363,-5119,2216,11459,13675,-13673,2,4025,4027,3308,7335,-3306,4029,'byte_4500'
'time_1',2216,9646,13675,-13673,2,4025,4027,3308,7335,-3306,4029,-210,3819,'byte_500'
'time_1',13675,-3817,2,4025,4027,3308,7335,-3306,4029,-210,3819,4065,7884,'byte_500'
'time_1',2,-3857,4027,3308,7335,-3306,4029,-210,3819,4065,7884,6763,14647,'byte_500'
'time_1',4027,-7312,7335,-3306,4029,-210,3819,4065,7884,6763,14647,-10620,4027,'byte_500'
'time_2',7335,2,4029,-210,3819,4065,7884,6763,14647,-10620,4027,-4024,3,'byte_500'
'time_2',4029,3816,3819,4065,7884,6763,14647,-10620,4027,-4024,3,3787,3790,'byte_500'
'time_2',3819,4094,7884,6763,14647,-10620,4027,-4024,3,3787,3790,-3573,217,'byte_500'
'time_2',7884,14430,14647,-10620,4027,-4024,3,3787,3790,-3573,217,3809,4026,'byte_500'
'time_2',14647,1,4027,-4024,3,3787,3790,-3573,217,3809,4026,3212,7238,'byte_500'
'time_3',4027,-7235,3,3787,3790,-3573,217,3809,4026,3212,7238,-3211,4027,'byte_500'
'time_3',3,-237,3790,-3573,217,3809,4026,3212,7238,-3211,4027,-4027,0,'byte_500'
'time_3',3790,217,217,3809,4026,3212,7238,-3211,4027,-4027,0,4032,4032,'byte_500'
'time_3',217,-6,4026,3212,7238,-3211,4027,-4027,0,4032,4032,-371,3661,'byte_500'
'time_3',4026,3577,7238,-3211,4027,-4027,0,4032,4032,-371,3661,-3661,0,'byte_500'
'time_3',7238,4027,4027,-4027,0,4032,4032,-371,3661,-3661,0,0,0,'byte_4500'
'time_4',4027,0,0,4032,4032,-371,3661,-3661,0,0,0,4028,4028,'byte_500'
'time_4',0,4,4032,-371,3661,-3661,0,0,0,4028,4028,-4028,0,'byte_500'
'time_4',4032,3661,3661,-3661,0,0,0,4028,4028,-4028,0,0,0,'byte_500'
'time_4',3661,0,0,0,0,4028,4028,-4028,0,0,0,0,0,'byte_500'
'time_4',0,0,0,4028,4028,-4028,0,0,0,0,0,0,0,'byte_8500'
'time_4',0,4028,4028,-4028,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_5',4028,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_7500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_8500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,4028,4028,'byte_4000'
'time_6',0,-4028,0,0,0,0,0,0,0,4028,4028,-4028,0,'byte_8000'
'time_7',0,0,0,0,0,0,0,4028,4028,-4028,0,0,0,'byte_4000'
'time_7',0,0,0,0,0,4028,4028,-4028,0,0,0,97,97,'byte_8500'
'time_7',0,-97,0,4028,4028,-4028,0,0,0,97,97,-97,0,'byte_500'
'time_7',0,4028,4028,-4028,0,0,0,97,97,-97,0,8055,8055,'byte_8500'
'time_7',4028,-8055,0,0,0,97,97,-97,0,8055,8055,-4394,3661,'byte_500'
'time_7',0,-3661,0,97,97,-97,0,8055,8055,-4394,3661,-3661,0,'byte_8500'
'time_8',0,97,97,-97,0,8055,8055,-4394,3661,-3661,0,1,1,'byte_500'
'time_8',97,-1,0,8055,8055,-4394,3661,-3661,0,1,1,-1,0,'byte_4500'
'time_8',0,8055,8055,-4394,3661,-3661,0,1,1,-1,0,7325,7325,'byte_4000'
'time_8',8055,-3664,3661,-3661,0,1,1,-1,0,7325,7325,731,8056,'byte_10000'
'time_8',3661,-8056,0,1,1,-1,0,7325,7325,731,8056,-4395,3661,'byte_10000'
'time_8',0,-3660,1,-1,0,7325,7325,731,8056,-4395,3661,367,4028,'byte_10000'
'time_9',1,-4028,0,7325,7325,731,8056,-4395,3661,367,4028,-358,3670,'byte_8500'
'time_9',0,3655,7325,731,8056,-4395,3661,367,4028,-358,3670,-3274,396,'byte_6500'
'time_9',7325,7660,8056,-4395,3661,367,4028,-358,3670,-3274,396,3265,3661,'byte_10000'
'time_9',8056,0,3661,367,4028,-358,3670,-3274,396,3265,3661,4301,7962,'byte_10000'
'time_9',3661,-3934,4028,-358,3670,-3274,396,3265,3661,4301,7962,-4300,3662,'byte_8500'
'time_10',4028,8,3670,-3274,396,3265,3661,4301,7962,-4300,3662,4394,8056,'byte_10000'
'time_10',3670,-7660,396,3265,3661,4301,7962,-4300,3662,4394,8056,-8056,0,'byte_10000'
'time_10',396,3661,3661,4301,7962,-4300,3662,4394,8056,-8056,0,8059,8059,'byte_10000'
'time_10',3661,-97,7962,-4300,3662,4394,8056,-8056,0,8059,8059,-8058,1,'byte_9000'
'time_10',7962,3661,3662,4394,8056,-8056,0,8059,8059,-8058,1,8049,8050,'byte_10000'
'time_10',3662,6,8056,-8056,0,8059,8059,-8058,1,8049,8050,-8050,0,'byte_4500'
'time_11',8056,0,0,8059,8059,-8058,1,8049,8050,-8050,0,4027,4027,'byte_4000'
'time_11',0,4032,8059,-8058,1,8049,8050,-8050,0,4027,4027,-355,3672,'byte_10000'
'time_11',8059,-3671,1,8049,8050,-8050,0,4027,4027,-355,3672,12447,16119,'byte_10000'
'time_11',1,-8069,8050,-8050,0,4027,4027,-355,3672,12447,16119,-1471,14648,'byte_10000'
'time_11',8050,-14648,0,4027,4027,-355,3672,12447,16119,-1471,14648,-3586,11062,'byte_7500'
'time_11',0,-7035,4027,-355,3672,12447,16119,-1471,14648,-3586,11062,-3003,8059,'byte_4500'
'time_12',4027,-4387,3672,12447,16119,-1471,14648,-3586,11062,-3003,8059,-2048,6011,'byte_7500'
'time_12',3672,10108,16119,-1471,14648,-3586,11062,-3003,8059,-2048,6011,19606,25617,'byte_1000'
'time_12',16119,-10969,14648,-3586,11062,-3003,8059,-2048,6011,19606,25617,-975,24642,'byte_3500'
'time_12',14648,-13580,11062,-3003,8059,-2048,6011,19606,25617,-975,24642,-16586,8056,'byte_10000'
'time_12',11062,3,8059,-2048,6011,19606,25617,-975,24642,-16586,8056,2930,10986,'byte_500'
'time_12',8059,-4975,6011,19606,25617,-975,24642,-16586,8056,2930,10986,9153,20139,'byte_10000'
'time_13',6011,5478,25617,-975,24642,-16586,8056,2930,10986,9153,20139,-5488,14651,'byte_7500'
'time_13',25617,9991,24642,-16586,8056,2930,10986,9153,20139,-5488,14651,-6040,8611,'byte_8500'
'time_13',24642,-555,8056,2930,10986,9153,20139,-5488,14651,-6040,8611,2374,10985,'byte_4000'
'time_13',8056,1,10986,9153,20139,-5488,14651,-6040,8611,2374,10985,-6955,4030,'byte_10000'
'time_13',10986,16109,20139,-5488,14651,-6040,8611,2374,10985,-6955,4030,-368,3662,'byte_4000'
'time_14',20139,10989,14651,-6040,8611,2374,10985,-6955,4030,-368,3662,8424,12086,'byte_4500'
'time_14',14651,-3475,8611,2374,10985,-6955,4030,-368,3662,8424,12086,2564,14650,'byte_500'
'time_14',8611,-3665,10985,-6955,4030,-368,3662,8424,12086,2564,14650,-2566,12084,'byte_4000'
'time_14',10985,-8054,4030,-368,3662,8424,12086,2564,14650,-2566,12084,-4760,7324,'byte_500'
'time_14',4030,-3662,3662,8424,12086,2564,14650,-2566,12084,-4760,7324,-3296,4028,'byte_4000'
'time_14',3662,8058,12086,2564,14650,-2566,12084,-4760,7324,-3296,4028,3296,7324,'byte_10000'
'time_15',12086,7326,14650,-2566,12084,-4760,7324,-3296,4028,3296,7324,-6769,555,'byte_4500'
'time_15',14650,11529,12084,-4760,7324,-3296,4028,3296,7324,-6769,555,2603,3158,'byte_500'
'time_15',12084,4166,7324,-3296,4028,3296,7324,-6769,555,2603,3158,8925,12083,'byte_500'
'time_15',7324,-8055,4028,3296,7324,-6769,555,2603,3158,8925,12083,-12080,3,'byte_500'
'time_15',4028,7321,7324,-6769,555,2603,3158,8925,12083,-12080,3,20138,20141,'byte_4000'
'time_15',7324,-19586,555,2603,3158,8925,12083,-12080,3,20138,20141,-12816,7325,'byte_500'
'time_16',555,-4167,3158,8925,12083,-12080,3,20138,20141,-12816,7325,731,8056,'byte_7500'
'time_16',3158,4027,12083,-12080,3,20138,20141,-12816,7325,731,8056,-4394,3662,'byte_4500'
'time_16',12083,-3659,3,20138,20141,-12816,7325,731,8056,-4394,3662,8427,12089,'byte_4000'
'time_16',3,8052,20141,-12816,7325,731,8056,-4394,3662,8427,12089,-8427,3662,'byte_10000'
'time_16',20141,3663,7325,731,8056,-4394,3662,8427,12089,-8427,3662,366,4028,'byte_500'
'time_17',7325,4028,8056,-4394,3662,8427,12089,-8427,3662,366,4028,-3732,296,'byte_4500'
'time_17',8056,3366,3662,8427,12089,-8427,3662,366,4028,-3732,296,3412,3708,'byte_500'
'time_17',3662,8381,12089,-8427,3662,366,4028,-3732,296,3412,3708,-3707,1,'byte_500'
'time_17',12089,3661,3662,366,4028,-3732,296,3412,3708,-3707,1,3660,3661,'byte_4500'
'time_17',3662,367,4028,-3732,296,3412,3708,-3707,1,3660,3661,8425,12086,'byte_4000'
'time_17',4028,-11790,296,3412,3708,-3707,1,3660,3661,8425,12086,-8058,4028,'byte_500'
'time_18',296,-320,3708,-3707,1,3660,3661,8425,12086,-8058,4028,-4028,0,'byte_10000'
'time_18',3708,1,1,3660,3661,8425,12086,-8058,4028,-4028,0,0,0,'byte_4500'
'time_18',1,3661,3661,8425,12086,-8058,4028,-4028,0,0,0,4,4,'byte_10000'
'time_18',3661,12082,12086,-8058,4028,-4028,0,0,0,4,4,3656,3660,'byte_4500'
'time_18',12086,368,4028,-4028,0,0,0,4,4,3656,3660,-3660,0,'byte_500'
'time_18',4028,0,0,0,0,4,4,3656,3660,-3660,0,7323,7323,'byte_10000'
'time_19',0,-7323,0,4,4,3656,3660,-3660,0,7323,7323,-3289,4034,'byte_4000'
'time_19',0,-4030,4,3656,3660,-3660,0,7323,7323,-3289,4034,-369,3665,'byte_4500'
