@relation dataset_day_2
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',530,0,57947,22244,62353,'byte_500'
'time_0',0,57947,22244,62353,480,'byte_500'
'time_0',57947,22244,62353,480,197,'byte_10000'
'time_0',22244,62353,480,197,29451,'byte_10000'
'time_0',62353,480,197,29451,63756,'byte_10000'
'time_0',480,197,29451,63756,35946,'byte_10000'
'time_1',197,29451,63756,35946,25380,'byte_10000'
'time_1',29451,63756,35946,25380,29740,'byte_10000'
'time_1',63756,35946,25380,29740,30340,'byte_10000'
'time_1',35946,25380,29740,30340,32101,'byte_10000'
'time_1',25380,29740,30340,32101,65008,'byte_10000'
'time_1',29740,30340,32101,65008,58918,'byte_10000'
'time_2',30340,32101,65008,58918,32218,'byte_0'
'time_2',32101,65008,58918,32218,0,'byte_0'
'time_2',65008,58918,32218,0,0,'byte_0'
'time_2',58918,32218,0,0,0,'byte_10000'
'time_2',32218,0,0,0,32396,'byte_0'
'time_2',0,0,0,32396,0,'byte_0'
'time_3',0,0,32396,0,0,'byte_10000'
'time_3',0,32396,0,0,64442,'byte_0'
'time_3',32396,0,0,64442,0,'byte_0'
'time_3',0,0,64442,0,0,'byte_10000'
'time_3',0,64442,0,0,32218,'byte_0'
'time_4',64442,0,0,32218,0,'byte_0'
'time_4',0,0,32218,0,0,'byte_0'
'time_4',0,32218,0,0,0,'byte_0'
'time_4',32218,0,0,0,0,'byte_0'
'time_4',0,0,0,0,0,'byte_0'
'time_4',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,29295,'byte_0'
'time_5',0,0,0,29295,0,'byte_0'
'time_5',0,0,29295,0,0,'byte_0'
'time_5',0,29295,0,0,0,'byte_0'
'time_6',29295,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,32218,'byte_500'
'time_6',0,0,0,32218,6,'byte_0'
'time_6',0,0,32218,6,0,'byte_10000'
'time_7',0,32218,6,0,64462,'byte_10000'
'time_7',32218,6,0,64462,29289,'byte_500'
'time_7',6,0,64462,29289,7,'byte_0'
'time_7',0,64462,29289,7,0,'byte_0'
'time_7',64462,29289,7,0,0,'byte_0'
'time_7',29289,7,0,0,0,'byte_500'
'time_8',7,0,0,0,29,'byte_10000'
'time_8',0,0,0,29,32186,'byte_0'
'time_8',0,0,29,32186,0,'byte_10000'
'time_8',0,29,32186,0,29295,'byte_0'
'time_8',29,32186,0,29295,0,'byte_0'
'time_9',32186,0,29295,0,0,'byte_0'
'time_9',0,29295,0,0,0,'byte_0'
'time_9',29295,0,0,0,0,'byte_0'
'time_9',0,0,0,0,0,'byte_0'
'time_9',0,0,0,0,0,'byte_10000'
'time_9',0,0,0,0,58584,'byte_10000'
'time_10',0,0,0,58584,32224,'byte_10000'
'time_10',0,0,58584,32224,87873,'byte_0'
'time_10',0,58584,32224,87873,0,'byte_10000'
'time_10',58584,32224,87873,0,32224,'byte_10000'
'time_10',32224,87873,0,32224,29289,'byte_10000'
'time_10',87873,0,32224,29289,64436,'byte_10000'
'time_11',0,32224,29289,64436,29301,'byte_0'
'time_11',32224,29289,64436,29301,0,'byte_10000'
'time_11',29289,64436,29301,0,29301,'byte_10000'
'time_11',64436,29301,0,29301,32218,'byte_500'
'time_11',29301,0,29301,32218,7,'byte_10000'
'time_11',0,29301,32218,7,29283,'byte_10000'
