@relation dataset_day_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',15159,19,467949,61847,521870,'byte_10000'
'time_0',19,467949,61847,521870,439949,'byte_10000'
'time_0',467949,61847,521870,439949,253426,'byte_10000'
'time_0',61847,521870,439949,253426,245817,'byte_10000'
'time_0',521870,439949,253426,245817,59931,'byte_10000'
'time_1',439949,253426,245817,59931,543142,'byte_5500'
'time_1',253426,245817,59931,543142,5432,'byte_10000'
'time_1',245817,59931,543142,5432,388268,'byte_10000'
'time_1',59931,543142,5432,388268,162608,'byte_10000'
'time_1',543142,5432,388268,162608,526658,'byte_10000'
'time_2',5432,388268,162608,526658,27918,'byte_10000'
'time_2',388268,162608,526658,27918,517624,'byte_10000'
'time_2',162608,526658,27918,517624,484277,'byte_10000'
'time_2',526658,27918,517624,484277,321400,'byte_10000'
'time_2',27918,517624,484277,321400,136552,'byte_10000'
'time_2',517624,484277,321400,136552,200390,'byte_10000'
'time_3',484277,321400,136552,200390,189180,'byte_10000'
'time_3',321400,136552,200390,189180,10355,'byte_10000'
'time_3',136552,200390,189180,10355,146510,'byte_10000'
'time_3',200390,189180,10355,146510,114632,'byte_10000'
'time_3',189180,10355,146510,114632,107456,'byte_10000'
'time_4',10355,146510,114632,107456,26850,'byte_10000'
'time_4',146510,114632,107456,26850,108620,'byte_10000'
'time_4',114632,107456,26850,108620,87899,'byte_10000'
'time_4',107456,26850,108620,87899,53714,'byte_500'
'time_4',26850,108620,87899,53714,28,'byte_10000'
'time_5',108620,87899,53714,28,53720,'byte_0'
'time_5',87899,53714,28,53720,0,'byte_10000'
'time_5',53714,28,53720,0,47058,'byte_10000'
'time_5',28,53720,0,47058,26860,'byte_0'
'time_5',53720,0,47058,26860,0,'byte_10000'
'time_6',0,47058,26860,0,26860,'byte_10000'
'time_6',47058,26860,0,26860,30531,'byte_10000'
'time_6',26860,0,26860,30531,54592,'byte_500'
'time_6',0,26860,30531,54592,18,'byte_10000'
'time_6',26860,30531,54592,18,80586,'byte_10000'
'time_7',30531,54592,18,80586,80581,'byte_10000'
'time_7',54592,18,80586,80581,74292,'byte_10000'
'time_7',18,80586,80581,74292,125366,'byte_500'
'time_7',80586,80581,74292,125366,6,'byte_10000'
'time_7',80581,74292,125366,6,189200,'byte_10000'
'time_8',74292,125366,6,189200,188026,'byte_500'
'time_8',125366,6,189200,188026,32,'byte_10000'
'time_8',6,189200,188026,32,84252,'byte_500'
'time_8',189200,188026,32,84252,23,'byte_1500'
'time_8',188026,32,84252,23,1201,'byte_10000'
'time_9',32,84252,23,1201,269802,'byte_10000'
'time_9',84252,23,1201,269802,229962,'byte_10000'
'time_9',23,1201,269802,229962,77362,'byte_10000'
'time_9',1201,269802,229962,77362,317338,'byte_10000'
'time_9',269802,229962,77362,317338,308378,'byte_10000'
'time_10',229962,77362,317338,308378,15263,'byte_10000'
'time_10',77362,317338,308378,15263,322356,'byte_10000'
'time_10',317338,308378,15263,322356,81742,'byte_10000'
'time_10',308378,15263,322356,81742,37480,'byte_10000'
'time_10',15263,322356,81742,37480,400155,'byte_8000'
'time_11',322356,81742,37480,400155,7578,'byte_10000'
'time_11',81742,37480,400155,7578,366379,'byte_10000'
'time_11',37480,400155,7578,366379,145893,'byte_10000'
'time_11',400155,7578,366379,145893,398996,'byte_10000'
'time_11',7578,366379,145893,398996,98673,'byte_10000'
'time_12',366379,145893,398996,98673,509556,'byte_10000'
'time_12',145893,398996,98673,509556,496825,'byte_10000'
'time_12',398996,98673,509556,496825,40420,'byte_10000'
'time_12',98673,509556,496825,40420,503967,'byte_10000'
'time_13',509556,496825,40420,503967,445296,'byte_10000'
'time_13',496825,40420,503967,445296,53193,'byte_10000'
'time_13',40420,503967,445296,53193,460381,'byte_10000'
'time_13',503967,445296,53193,460381,28571,'byte_10000'
'time_13',445296,53193,460381,28571,433053,'byte_4000'
'time_14',53193,460381,28571,433053,3647,'byte_1000'
'time_14',460381,28571,433053,3647,800,'byte_1500'
'time_14',28571,433053,3647,800,1069,'byte_500'
'time_14',433053,3647,800,1069,305,'byte_500'
'time_14',3647,800,1069,305,245,'byte_7000'
'time_15',800,1069,305,245,6689,'byte_1000'
'time_15',1069,305,245,6689,521,'byte_6000'
'time_15',305,245,6689,521,5750,'byte_2000'
'time_15',245,6689,521,5750,1858,'byte_500'
'time_16',6689,521,5750,1858,291,'byte_2000'
'time_16',521,5750,1858,291,1875,'byte_1500'
