@relation dataset_day_12
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',136,96682,29341,26,104,'byte_500'
'time_0',96682,29341,26,104,136,'byte_10000'
'time_0',29341,26,104,136,32208,'byte_10000'
'time_0',26,104,136,32208,32442,'byte_10000'
'time_0',104,136,32208,32442,329,'byte_0'
'time_0',136,32208,32442,329,31998,'byte_0'
'time_1',32208,32442,329,31998,29321,'byte_0'
'time_1',32442,329,31998,29321,161636,'byte_10000'
'time_1',329,31998,29321,161636,32814,'byte_0'
'time_1',31998,29321,161636,32814,28916,'byte_0'
'time_1',29321,161636,32814,28916,225,'byte_0'
'time_1',161636,32814,28916,225,174,'byte_0'
'time_2',32814,28916,225,174,42,'byte_0'
'time_2',28916,225,174,42,32484,'byte_0'
'time_2',225,174,42,32484,31968,'byte_0'
'time_2',174,42,32484,31968,0,'byte_0'
'time_2',42,32484,31968,0,39,'byte_0'
'time_2',32484,31968,0,39,72468,'byte_0'
'time_3',31968,0,39,72468,51264,'byte_0'
'time_3',0,39,72468,51264,32224,'byte_10000'
'time_3',39,72468,51264,32224,0,'byte_0'
'time_3',72468,51264,32224,0,0,'byte_0'
'time_3',51264,32224,0,0,0,'byte_0'
'time_3',32224,0,0,0,32224,'byte_0'
'time_4',0,0,0,32224,0,'byte_0'
'time_4',0,0,32224,0,0,'byte_10000'
'time_4',0,32224,0,0,0,'byte_0'
'time_4',32224,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,29295,'byte_500'
'time_6',0,0,0,29295,0,'byte_500'
'time_6',0,0,29295,0,0,'byte_500'
'time_6',0,29295,0,0,0,'byte_0'
'time_6',29295,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,32224,'byte_10000'
'time_7',0,0,0,32224,0,'byte_0'
'time_7',0,0,32224,0,29295,'byte_10000'
'time_7',0,32224,0,29295,0,'byte_10000'
'time_7',32224,0,29295,0,0,'byte_10000'
'time_7',0,29295,0,0,0,'byte_0'
'time_8',29295,0,0,0,0,'byte_10000'
'time_8',0,0,0,0,0,'byte_0'
'time_8',0,0,0,0,0,'byte_0'
'time_8',0,0,0,0,32224,'byte_10000'
'time_8',0,0,0,32224,12,'byte_10000'
'time_8',0,0,32224,12,19,'byte_10000'
'time_9',0,32224,12,19,29,'byte_10000'
'time_9',32224,12,19,29,0,'byte_10000'
'time_9',12,19,29,0,58619,'byte_0'
'time_9',19,29,0,58619,0,'byte_10000'
'time_9',29,0,58619,0,42975,'byte_10000'
'time_10',0,58619,0,42975,0,'byte_10000'
'time_10',58619,0,42975,0,32224,'byte_10000'
'time_10',0,42975,0,32224,29295,'byte_500'
'time_10',42975,0,32224,29295,32224,'byte_10000'
'time_10',0,32224,29295,32224,0,'byte_10000'
'time_10',32224,29295,32224,0,32224,'byte_10000'
'time_11',29295,32224,0,32224,0,'byte_500'
'time_11',32224,0,32224,0,0,'byte_500'
'time_11',0,32224,0,0,29353,'byte_500'
'time_11',32224,0,0,29353,32224,'byte_500'
'time_11',0,0,29353,32224,64481,'byte_500'
'time_11',0,29353,32224,64481,58733,'byte_500'
'time_12',29353,32224,64481,58733,32263,'byte_500'
'time_12',32224,64481,58733,32263,0,'byte_500'
'time_12',64481,58733,32263,0,32519,'byte_1000'
'time_12',58733,32263,0,32519,13199,'byte_1000'
'time_12',32263,0,32519,13199,50012,'byte_500'
'time_12',0,32519,13199,50012,29328,'byte_500'
'time_13',32519,13199,50012,29328,135,'byte_500'
'time_13',13199,50012,29328,135,55092,'byte_500'
'time_13',50012,29328,135,55092,32312,'byte_1000'
'time_13',29328,135,55092,32312,29545,'byte_1000'
'time_13',135,55092,32312,29545,490,'byte_500'
'time_14',55092,32312,29545,490,229,'byte_500'
'time_14',32312,29545,490,229,75,'byte_500'
'time_14',29545,490,229,75,235,'byte_500'
'time_14',490,229,75,235,40,'byte_500'
'time_14',229,75,235,40,178,'byte_500'
'time_14',75,235,40,178,68,'byte_1000'
'time_15',235,40,178,68,438,'byte_500'
'time_15',40,178,68,438,628,'byte_1000'
'time_15',178,68,438,628,678,'byte_500'
'time_15',68,438,628,678,429,'byte_500'
'time_15',438,628,678,429,179,'byte_1000'
'time_15',628,678,429,179,52,'byte_500'
'time_16',678,429,179,52,89,'byte_500'
'time_16',429,179,52,89,791,'byte_500'
'time_16',179,52,89,791,667,'byte_500'
'time_16',52,89,791,667,6,'byte_500'
'time_16',89,791,667,6,303,'byte_1000'
'time_17',791,667,6,303,457,'byte_1000'
'time_17',667,6,303,457,438,'byte_1000'
'time_17',6,303,457,438,140,'byte_500'
'time_17',303,457,438,140,37,'byte_1000'
'time_17',457,438,140,37,584,'byte_1000'
'time_17',438,140,37,584,160,'byte_1000'
'time_18',140,37,584,160,507,'byte_1500'
'time_18',37,584,160,507,288,'byte_1500'
'time_18',584,160,507,288,489,'byte_1000'
'time_18',160,507,288,489,615,'byte_1000'
'time_18',507,288,489,615,68,'byte_1000'
'time_19',288,489,615,68,282,'byte_500'
'time_19',489,615,68,282,396,'byte_500'
'time_19',615,68,282,396,390,'byte_1500'
'time_19',68,282,396,390,88,'byte_1000'
'time_19',282,396,390,88,501,'byte_500'
'time_19',396,390,88,501,594,'byte_1500'
'time_20',390,88,501,594,943,'byte_1000'
'time_20',88,501,594,943,92,'byte_500'
'time_20',501,594,943,92,843,'byte_500'
'time_20',594,943,92,843,585,'byte_10000'
'time_20',943,92,843,585,912,'byte_10000'
'time_21',92,843,585,912,1452,'byte_500'
'time_21',843,585,912,1452,1131,'byte_500'
'time_21',585,912,1452,1131,948,'byte_500'
'time_21',912,1452,1131,948,809,'byte_10000'
'time_21',1452,1131,948,809,740,'byte_10000'
'time_21',1131,948,809,740,427,'byte_500'
'time_22',948,809,740,427,439,'byte_10000'
'time_22',809,740,427,439,1097,'byte_10000'
'time_22',740,427,439,1097,726,'byte_10000'
'time_22',427,439,1097,726,1,'byte_10000'
'time_22',439,1097,726,1,1223,'byte_10000'
'time_23',1097,726,1,1223,976,'byte_500'
'time_23',726,1,1223,976,257,'byte_500'
'time_23',1,1223,976,257,136,'byte_500'
'time_23',1223,976,257,136,96682,'byte_10000'
'time_23',976,257,136,96682,29341,'byte_10000'
'time_23',257,136,96682,29341,26,'byte_0'
