@relation dataset_day_2
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',493,29299,3,0,18762,'byte_10000'
'time_0',29299,3,0,18762,12748,'byte_0'
'time_0',3,0,18762,12748,31832,'byte_0'
'time_0',0,18762,12748,31832,29415,'byte_10000'
'time_0',18762,12748,31832,29415,604,'byte_0'
'time_0',12748,31832,29415,604,29537,'byte_0'
'time_1',31832,29415,604,29537,131,'byte_0'
'time_1',29415,604,29537,131,59,'byte_0'
'time_1',604,29537,131,59,98181,'byte_0'
'time_1',29537,131,59,98181,29471,'byte_0'
'time_1',131,59,98181,29471,32393,'byte_0'
'time_1',59,98181,29471,32393,11106,'byte_10000'
'time_2',98181,29471,32393,11106,20001,'byte_0'
'time_2',29471,32393,11106,20001,29331,'byte_0'
'time_2',32393,11106,20001,29331,32234,'byte_0'
'time_2',11106,20001,29331,32234,87942,'byte_0'
'time_2',20001,29331,32234,87942,32359,'byte_0'
'time_2',29331,32234,87942,32359,39,'byte_0'
'time_3',32234,87942,32359,39,58535,'byte_0'
'time_3',87942,32359,39,58535,15,'byte_0'
'time_3',32359,39,58535,15,0,'byte_0'
'time_3',39,58535,15,0,32244,'byte_10000'
'time_3',58535,15,0,32244,0,'byte_0'
'time_4',15,0,32244,0,0,'byte_10000'
'time_4',0,32244,0,0,32218,'byte_0'
'time_4',32244,0,0,32218,0,'byte_10000'
'time_4',0,0,32218,0,0,'byte_0'
'time_4',0,32218,0,0,0,'byte_0'
'time_4',32218,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,32218,'byte_500'
'time_5',0,0,0,32218,0,'byte_0'
'time_5',0,0,32218,0,0,'byte_10000'
'time_6',0,32218,0,0,0,'byte_0'
'time_6',32218,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,0,'byte_0'
'time_7',0,0,0,0,29289,'byte_10000'
'time_7',0,0,0,29289,0,'byte_0'
'time_7',0,0,29289,0,17445,'byte_10000'
'time_7',0,29289,0,17445,0,'byte_500'
'time_7',29289,0,17445,0,32218,'byte_10000'
'time_8',0,17445,0,32218,0,'byte_10000'
'time_8',17445,0,32218,0,0,'byte_0'
'time_8',0,32218,0,0,32218,'byte_10000'
'time_8',32218,0,0,32218,58572,'byte_500'
'time_8',0,0,32218,58572,32224,'byte_10000'
'time_9',0,32218,58572,32224,87885,'byte_10000'
'time_9',32218,58572,32224,87885,32,'byte_500'
'time_9',58572,32224,87885,32,0,'byte_10000'
'time_9',32224,87885,32,0,32224,'byte_10000'
'time_9',87885,32,0,32224,0,'byte_10000'
'time_9',32,0,32224,0,29289,'byte_500'
'time_10',0,32224,0,29289,4451,'byte_500'
'time_10',32224,0,29289,4451,58,'byte_500'
'time_10',0,29289,4451,58,32154,'byte_500'
'time_10',29289,4451,58,32154,0,'byte_500'
'time_10',4451,58,32154,0,0,'byte_500'
'time_10',58,32154,0,0,32231,'byte_500'
'time_11',32154,0,0,32231,0,'byte_500'
'time_11',0,0,32231,0,64436,'byte_500'
'time_11',0,32231,0,64436,30,'byte_500'
'time_11',32231,0,64436,30,36662,'byte_500'
'time_11',0,64436,30,36662,32218,'byte_500'
'time_11',64436,30,36662,32218,0,'byte_1000'
'time_12',30,36662,32218,0,64442,'byte_1000'
'time_12',36662,32218,0,64442,12,'byte_1000'
'time_12',32218,0,64442,12,63494,'byte_500'
'time_12',0,64442,12,63494,29365,'byte_500'
'time_12',64442,12,63494,29365,57,'byte_500'
'time_13',12,63494,29365,57,33719,'byte_1000'
'time_13',63494,29365,57,33719,29410,'byte_500'
'time_13',29365,57,33719,29410,32242,'byte_500'
'time_13',57,33719,29410,32242,70,'byte_500'
'time_13',33719,29410,32242,70,58,'byte_1000'
'time_13',29410,32242,70,58,112,'byte_500'
'time_14',32242,70,58,112,220,'byte_500'
'time_14',70,58,112,220,347,'byte_500'
'time_14',58,112,220,347,336,'byte_500'
'time_14',112,220,347,336,50,'byte_500'
'time_14',220,347,336,50,411,'byte_500'
'time_14',347,336,50,411,257,'byte_1000'
'time_15',336,50,411,257,86,'byte_500'
'time_15',50,411,257,86,198,'byte_500'
'time_15',411,257,86,198,12,'byte_1000'
'time_15',257,86,198,12,520,'byte_1000'
'time_15',86,198,12,520,802,'byte_1000'
'time_15',198,12,520,802,623,'byte_500'
'time_16',12,520,802,623,200,'byte_500'
'time_16',520,802,623,200,67,'byte_1000'
'time_16',802,623,200,67,105,'byte_500'
'time_16',623,200,67,105,644,'byte_1000'
'time_16',200,67,105,644,462,'byte_500'
'time_17',67,105,644,462,170,'byte_500'
'time_17',105,644,462,170,176,'byte_500'
'time_17',644,462,170,176,758,'byte_500'
'time_17',462,170,176,758,36,'byte_1000'
'time_17',170,176,758,36,402,'byte_500'
'time_17',176,758,36,402,128,'byte_1500'
'time_18',758,36,402,128,213,'byte_500'
'time_18',36,402,128,213,392,'byte_1000'
'time_18',402,128,213,392,222,'byte_500'
'time_18',128,213,392,222,716,'byte_500'
'time_18',213,392,222,716,479,'byte_1500'
'time_19',392,222,716,479,80,'byte_1000'
'time_19',222,716,479,80,600,'byte_1000'
'time_19',716,479,80,600,694,'byte_500'
'time_19',479,80,600,694,530,'byte_500'
