@relation dataset_normal_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',362,31614,31614,-30956,658,63945,64603,11117,75720,-62162,13558,15887,29445,'byte_10000'
'time_0',31614,-28787,658,63945,64603,11117,75720,-62162,13558,15887,29445,-24981,4464,'byte_500'
'time_0',658,60139,64603,11117,75720,-62162,13558,15887,29445,-24981,4464,20589,25053,'byte_500'
'time_0',64603,50667,75720,-62162,13558,15887,29445,-24981,4464,20589,25053,-24845,208,'byte_500'
'time_0',75720,13350,13558,15887,29445,-24981,4464,20589,25053,-24845,208,39411,39619,'byte_500'
'time_0',13558,-10174,29445,-24981,4464,20589,25053,-24845,208,39411,39619,-38670,949,'byte_500'
'time_1',29445,3515,4464,20589,25053,-24845,208,39411,39619,-38670,949,-929,20,'byte_500'
'time_1',4464,25033,25053,-24845,208,39411,39619,-38670,949,-929,20,87917,87937,'byte_500'
'time_1',25053,-87729,208,39411,39619,-38670,949,-929,20,87917,87937,-23166,64771,'byte_10000'
'time_1',208,-25152,39619,-38670,949,-929,20,87917,87937,-23166,64771,-60465,4306,'byte_500'
'time_1',39619,-3357,949,-929,20,87917,87937,-23166,64771,-60465,4306,23195,27501,'byte_500'
'time_1',949,-27481,20,87917,87937,-23166,64771,-60465,4306,23195,27501,-27400,101,'byte_500'
