@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',364,29299,29299,-29267,32,58626,58658,-58376,282,'byte_10000'
'time_0',29299,-250,32,58626,58658,-58376,282,28827,29109,'byte_10000'
'time_0',32,29549,58658,-58376,282,28827,29109,58934,88043,'byte_10000'
'time_0',58658,-87761,282,28827,29109,58934,88043,-88043,0,'byte_10000'
'time_0',282,29109,29109,58934,88043,-88043,0,58595,58595,'byte_10000'
'time_0',29109,29448,88043,-88043,0,58595,58595,-58431,164,'byte_500'
'time_1',88043,-164,0,58595,58595,-58431,164,40522,40686,'byte_10000'
'time_1',0,17909,58595,-58431,164,40522,40686,-15035,25651,'byte_500'
'time_1',58595,-25487,164,40522,40686,-15035,25651,39042,64693,'byte_10000'
'time_1',164,-24007,40686,-15035,25651,39042,64693,-32509,32184,'byte_500'
'time_1',40686,-6533,25651,39042,64693,-32509,32184,26514,58698,'byte_500'
'time_1',25651,5995,64693,-32509,32184,26514,58698,-58698,0,'byte_10000'
'time_2',64693,32184,32184,26514,58698,-58698,0,29307,29307,'byte_500'
'time_2',32184,29391,58698,-58698,0,29307,29307,-29267,40,'byte_10000'
'time_2',58698,-40,0,29307,29307,-29267,40,32184,32224,'byte_500'
'time_2',0,-2917,29307,-29267,40,32184,32224,-32224,0,'byte_500'
'time_2',29307,40,40,32184,32224,-32224,0,0,0,'byte_500'
'time_2',40,32224,32224,-32224,0,0,0,29295,29295,'byte_10000'
'time_3',32224,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_3',0,0,0,29295,29295,-29295,0,29295,29295,'byte_500'
'time_3',0,0,29295,-29295,0,29295,29295,-29295,0,'byte_10000'
'time_3',29295,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_3',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,29295,29295,'byte_500'
'time_4',32224,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_5',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_5',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_1500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,29,29,'byte_500'
'time_7',0,-29,0,0,0,29,29,-29,0,'byte_500'
'time_7',0,0,0,29,29,-29,0,32224,32224,'byte_10000'
'time_7',0,-32195,29,-29,0,32224,32224,-32224,0,'byte_500'
'time_7',29,0,0,32224,32224,-32224,0,1423,1423,'byte_10000'
'time_7',0,30801,32224,-32224,0,1423,1423,-1423,0,'byte_500'
'time_8',32224,0,0,1423,1423,-1423,0,0,0,'byte_500'
'time_8',0,1423,1423,-1423,0,0,0,0,0,'byte_500'
'time_8',1423,0,0,0,0,0,0,12758,12758,'byte_10000'
'time_8',0,-12758,0,0,0,12758,12758,-12758,0,'byte_500'
'time_8',0,0,0,12758,12758,-12758,0,29295,29295,'byte_10000'
'time_8',0,-16537,12758,-12758,0,29295,29295,-29295,0,'byte_500'
'time_9',12758,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_9',0,29295,29295,-29295,0,0,0,29,29,'byte_500'
'time_9',29295,-29,0,0,0,29,29,32163,32192,'byte_10000'
'time_9',0,-32192,0,29,29,32163,32192,-32192,0,'byte_10000'
'time_9',0,29,29,32163,32192,-32192,0,32224,32224,'byte_500'
'time_10',29,-32,32192,-32192,0,32224,32224,-32195,29,'byte_500'
'time_10',32192,-29,0,32224,32224,-32195,29,-29,0,'byte_10000'
'time_10',0,32224,32224,-32195,29,-29,0,0,0,'byte_10000'
'time_10',32224,29,29,-29,0,0,0,32238,32238,'byte_500'
'time_10',29,-32238,0,0,0,32238,32238,55635,87873,'byte_500'
'time_10',0,-87873,0,32238,32238,55635,87873,-87841,32,'byte_10000'
'time_11',0,32206,32238,55635,87873,-87841,32,-32,0,'byte_10000'
'time_11',32238,87873,87873,-87841,32,-32,0,58590,58590,'byte_10000'
'time_11',87873,-58558,32,-32,0,58590,58590,-26366,32224,'byte_10000'
'time_11',32,-32224,0,58590,58590,-26366,32224,-32224,0,'byte_10000'
'time_11',0,58590,58590,-26366,32224,-32224,0,0,0,'byte_10000'
'time_11',58590,32224,32224,-32224,0,0,0,29295,29295,'byte_500'
'time_12',32224,-29295,0,0,0,29295,29295,3105,32400,'byte_10000'
'time_12',0,-32400,0,29295,29295,3105,32400,-3014,29386,'byte_500'
'time_12',0,-91,29295,3105,32400,-3014,29386,361,29747,'byte_10000'
'time_12',29295,2653,32400,-3014,29386,361,29747,34895,64642,'byte_10000'
'time_12',32400,-35256,29386,361,29747,34895,64642,-35777,28865,'byte_10000'
'time_13',29386,882,29747,34895,64642,-35777,28865,-28659,206,'byte_500'
'time_13',29747,64436,64642,-35777,28865,-28659,206,28962,29168,'byte_500'
'time_13',64642,-303,28865,-28659,206,28962,29168,-28927,241,'byte_1000'
'time_13',28865,-35,206,28962,29168,-28927,241,29127,29368,'byte_500'
'time_13',206,-200,29168,-28927,241,29127,29368,-38,29330,'byte_500'
'time_13',29168,-29089,241,29127,29368,-38,29330,2986,32316,'byte_500'
'time_14',241,-2948,29368,-38,29330,2986,32316,-31980,336,'byte_500'
'time_14',29368,28994,29330,2986,32316,-31980,336,-138,198,'byte_1000'
'time_14',29330,32118,32316,-31980,336,-138,198,373,571,'byte_500'
'time_14',32316,-235,336,-138,198,373,571,-233,338,'byte_500'
'time_14',336,-140,198,373,571,-233,338,63,401,'byte_500'
'time_14',198,170,571,-233,338,63,401,44,445,'byte_500'
'time_15',571,-107,338,63,401,44,445,17,462,'byte_500'
'time_15',338,-61,401,44,445,17,462,276,738,'byte_1000'
'time_15',401,-293,445,17,462,276,738,-377,361,'byte_500'
