@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',545,29299,29299,67496,96795,-67417,29378,67476,96854,'byte_10000'
'time_0',29299,-59,96795,-67417,29378,67476,96854,-96497,357,'byte_500'
'time_0',96795,29021,29378,67476,96854,-96497,357,116560,116917,'byte_10000'
'time_0',29378,-20063,96854,-96497,357,116560,116917,-19709,97208,'byte_10000'
'time_0',96854,-96851,357,116560,116917,-19709,97208,-87815,9393,'byte_500'
'time_0',357,107524,116917,-19709,97208,-87815,9393,-9210,183,'byte_10000'
'time_1',116917,97025,97208,-87815,9393,-9210,183,87604,87787,'byte_10000'
'time_1',97208,-78394,9393,-9210,183,87604,87787,-87553,234,'byte_500'
'time_1',9393,-51,183,87604,87787,-87553,234,28955,29189,'byte_500'
'time_1',183,58598,87787,-87553,234,28955,29189,-29058,131,'byte_10000'
'time_1',87787,103,234,28955,29189,-29058,131,29303,29434,'byte_500'
'time_1',234,-245,29189,-29058,131,29303,29434,2518,31952,'byte_500'
'time_2',29189,-31821,131,29303,29434,2518,31952,-2465,29487,'byte_500'
'time_2',131,-53,29434,2518,31952,-2465,29487,-146,29341,'byte_500'
'time_2',29434,2611,31952,-2465,29487,-146,29341,-29341,0,'byte_10000'
'time_2',31952,29487,29487,-146,29341,-29341,0,0,0,'byte_500'
'time_2',29487,29341,29341,-29341,0,0,0,32224,32224,'byte_500'
'time_2',29341,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_3',0,0,0,32224,32224,-32224,0,32238,32238,'byte_500'
'time_3',0,-14,32224,-32224,0,32238,32238,-2943,29295,'byte_500'
'time_3',32224,-29295,0,32238,32238,-2943,29295,-29295,0,'byte_500'
'time_3',0,32238,32238,-2943,29295,-29295,0,13811,13811,'byte_500'
'time_3',32238,15484,29295,-29295,0,13811,13811,2928,16739,'byte_500'
'time_4',29295,-16739,0,13811,13811,2928,16739,-16739,0,'byte_10000'
'time_4',0,13811,13811,2928,16739,-16739,0,0,0,'byte_500'
'time_4',13811,16739,16739,-16739,0,0,0,32224,32224,'byte_500'
'time_4',16739,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_4',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,13,13,'byte_500'
'time_5',32224,-13,0,0,0,13,13,-13,0,'byte_10000'
'time_5',0,0,0,13,13,-13,0,29295,29295,'byte_500'
'time_5',0,-29282,13,-13,0,29295,29295,-29295,0,'byte_10000'
'time_5',13,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_5',0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_5',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_7',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_7',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
