@relation dataset_random20_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1810,19488,19488,-19449,39,87862,87901,-23449,64452,-64344,108,51,159,'byte_500'
'time_0',19488,-120,39,87862,87901,-23449,64452,-64344,108,51,159,32301,32460,'byte_10000'
'time_0',39,55441,87901,-23449,64452,-64344,108,51,159,32301,32460,-3194,29266,'byte_500'
'time_0',87901,35186,64452,-64344,108,51,159,32301,32460,-3194,29266,-29114,152,'byte_10000'
'time_0',64452,-44,108,51,159,32301,32460,-3194,29266,-29114,152,58415,58567,'byte_10000'
'time_0',108,-58408,159,32301,32460,-3194,29266,-29114,152,58415,58567,-26296,32271,'byte_10000'
'time_1',159,189,32460,-3194,29266,-29114,152,58415,58567,-26296,32271,-32196,75,'byte_10000'
'time_1',32460,29191,29266,-29114,152,58415,58567,-26296,32271,-32196,75,64482,64557,'byte_500'
'time_1',29266,-64405,152,58415,58567,-26296,32271,-32196,75,64482,64557,-64328,229,'byte_10000'
'time_1',152,58338,58567,-26296,32271,-32196,75,64482,64557,-64328,229,64361,64590,'byte_10000'
'time_1',58567,-32319,32271,-32196,75,64482,64557,-64328,229,64361,64590,-34943,29647,'byte_500'
'time_1',32271,-29572,75,64482,64557,-64328,229,64361,64590,-34943,29647,49084,78731,'byte_500'
'time_2',75,-14174,64557,-64328,229,64361,64590,-34943,29647,49084,78731,-68662,10069,'byte_500'
'time_2',64557,-9840,229,64361,64590,-34943,29647,49084,78731,-68662,10069,-10069,0,'byte_500'
'time_2',229,64590,64590,-34943,29647,49084,78731,-68662,10069,-10069,0,32258,32258,'byte_500'
'time_2',64590,-2611,29647,49084,78731,-68662,10069,-10069,0,32258,32258,-2963,29295,'byte_500'
'time_2',29647,49436,78731,-68662,10069,-10069,0,32258,32258,-2963,29295,-29295,0,'byte_500'
'time_2',78731,10069,10069,-10069,0,32258,32258,-2963,29295,-29295,0,0,0,'byte_500'
'time_3',10069,0,0,32258,32258,-2963,29295,-29295,0,0,0,0,0,'byte_500'
'time_3',0,32258,32258,-2963,29295,-29295,0,0,0,0,0,0,0,'byte_500'
'time_3',32258,29295,29295,-29295,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',29295,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
