@relation dataset_p2p_rnd10_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7326,8066,8066,-4401,3665,-3527,138,11844,11982,-11959,23,12060,12083,'byte_7000'
'time_0',8066,-8418,3665,-3527,138,11844,11982,-11959,23,12060,12083,-5365,6718,'byte_500'
'time_0',3665,-6580,138,11844,11982,-11959,23,12060,12083,-5365,6718,-6716,2,'byte_8500'
'time_0',138,11980,11982,-11959,23,12060,12083,-5365,6718,-6716,2,8053,8055,'byte_3000'
'time_0',11982,-8032,23,12060,12083,-5365,6718,-6716,2,8053,8055,-5524,2531,'byte_5500'
'time_0',23,9552,12083,-5365,6718,-6716,2,8053,8055,-5524,2531,2740,5271,'byte_8000'
'time_1',12083,1447,6718,-6716,2,8053,8055,-5524,2531,2740,5271,2333,7604,'byte_4500'
'time_1',6718,-7602,2,8053,8055,-5524,2531,2740,5271,2333,7604,-3575,4029,'byte_500'
'time_1',2,4026,8055,-5524,2531,2740,5271,2333,7604,-3575,4029,-4029,0,'byte_10000'
'time_1',8055,2531,2531,2740,5271,2333,7604,-3575,4029,-4029,0,16111,16111,'byte_4000'
'time_1',2531,-10840,5271,2333,7604,-3575,4029,-4029,0,16111,16111,-12442,3669,'byte_1500'
'time_1',5271,3935,7604,-3575,4029,-4029,0,16111,16111,-12442,3669,-2473,1196,'byte_10000'
'time_2',7604,2833,4029,-4029,0,16111,16111,-12442,3669,-2473,1196,8762,9958,'byte_10000'
'time_2',4029,-9958,0,16111,16111,-12442,3669,-2473,1196,8762,9958,2125,12083,'byte_7500'
'time_2',0,4028,16111,-12442,3669,-2473,1196,8762,9958,2125,12083,-4759,7324,'byte_500'
'time_2',16111,-3655,3669,-2473,1196,8762,9958,2125,12083,-4759,7324,-7324,0,'byte_4000'
'time_2',3669,1196,1196,8762,9958,2125,12083,-4759,7324,-7324,0,3662,3662,'byte_500'
'time_3',1196,6296,9958,2125,12083,-4759,7324,-7324,0,3662,3662,-3662,0,'byte_500'
'time_3',9958,12083,12083,-4759,7324,-7324,0,3662,3662,-3662,0,0,0,'byte_4500'
'time_3',12083,7324,7324,-7324,0,3662,3662,-3662,0,0,0,4027,4027,'byte_500'
'time_3',7324,-4027,0,3662,3662,-3662,0,0,0,4027,4027,-4027,0,'byte_4500'
'time_3',0,3662,3662,-3662,0,0,0,4027,4027,-4027,0,4027,4027,'byte_500'
'time_3',3662,-4027,0,0,0,4027,4027,-4027,0,4027,4027,-4027,0,'byte_500'
'time_4',0,0,0,4027,4027,-4027,0,4027,4027,-4027,0,0,0,'byte_500'
'time_4',0,4027,4027,-4027,0,4027,4027,-4027,0,0,0,0,0,'byte_4500'
'time_4',4027,0,0,4027,4027,-4027,0,0,0,0,0,4027,4027,'byte_500'
'time_4',0,0,4027,-4027,0,0,0,0,0,4027,4027,-4027,0,'byte_500'
'time_4',4027,0,0,0,0,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_4',0,0,0,0,0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_5',0,0,0,4027,4027,-4027,0,0,0,0,0,0,0,'byte_500'
'time_5',0,4027,4027,-4027,0,0,0,0,0,0,0,0,0,'byte_4000'
'time_5',4027,0,0,0,0,0,0,0,0,0,0,3661,3661,'byte_500'
'time_5',0,-3661,0,0,0,0,0,0,0,3661,3661,-3661,0,'byte_500'
'time_5',0,0,0,0,0,0,0,3661,3661,-3661,0,0,0,'byte_500'
'time_5',0,0,0,0,0,3661,3661,-3661,0,0,0,0,0,'byte_500'
'time_6',0,0,0,3661,3661,-3661,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,3661,3661,-3661,0,0,0,0,0,0,0,9598,9598,'byte_500'
'time_6',3661,-9598,0,0,0,0,0,0,0,9598,9598,-9598,0,'byte_500'
'time_6',0,0,0,0,0,0,0,9598,9598,-9598,0,0,0,'byte_500'
'time_6',0,0,0,0,0,9598,9598,-9598,0,0,0,0,0,'byte_500'
'time_7',0,0,0,9598,9598,-9598,0,0,0,0,0,0,0,'byte_4500'
'time_7',0,9598,9598,-9598,0,0,0,0,0,0,0,4027,4027,'byte_500'
'time_7',9598,-4027,0,0,0,0,0,0,0,4027,4027,-4027,0,'byte_500'
'time_7',0,0,0,0,0,0,0,4027,4027,-4027,0,0,0,'byte_500'
'time_7',0,0,0,0,0,4027,4027,-4027,0,0,0,0,0,'byte_4500'
'time_7',0,0,0,4027,4027,-4027,0,0,0,0,0,4027,4027,'byte_500'
'time_8',0,0,4027,-4027,0,0,0,0,0,4027,4027,-4027,0,'byte_4500'
'time_8',4027,0,0,0,0,0,0,4027,4027,-4027,0,4029,4029,'byte_4000'
'time_8',0,-4029,0,0,0,4027,4027,-4027,0,4029,4029,-366,3663,'byte_4500'
'time_8',0,-3663,0,4027,4027,-4027,0,4029,4029,-366,3663,364,4027,'byte_4000'
'time_8',0,0,4027,-4027,0,4029,4029,-366,3663,364,4027,-373,3654,'byte_4500'
'time_8',4027,-3654,0,4029,4029,-366,3663,364,4027,-373,3654,381,4035,'byte_500'
'time_9',0,-6,4029,-366,3663,364,4027,-373,3654,381,4035,-4035,0,'byte_4500'
'time_9',4029,3663,3663,364,4027,-373,3654,381,4035,-4035,0,4027,4027,'byte_500'
'time_9',3663,0,4027,-373,3654,381,4035,-4035,0,4027,4027,-4026,1,'byte_500'
'time_9',4027,3653,3654,381,4035,-4035,0,4027,4027,-4026,1,-1,0,'byte_10000'
'time_9',3654,4035,4035,-4035,0,4027,4027,-4026,1,-1,0,10984,10984,'byte_4500'
'time_10',4035,-10984,0,4027,4027,-4026,1,-1,0,10984,10984,-6952,4032,'byte_4000'
'time_10',0,-5,4027,-4026,1,-1,0,10984,10984,-6952,4032,-372,3660,'byte_4500'
'time_10',4027,-3659,1,-1,0,10984,10984,-6952,4032,-372,3660,371,4031,'byte_500'
'time_10',1,-4031,0,10984,10984,-6952,4032,-372,3660,371,4031,-4029,2,'byte_4500'
'time_10',0,10982,10984,-6952,4032,-372,3660,371,4031,-4029,2,4026,4028,'byte_4000'
'time_10',10984,4,4032,-372,3660,371,4031,-4029,2,4026,4028,-367,3661,'byte_4500'
'time_11',4032,-1,3660,371,4031,-4029,2,4026,4028,-367,3661,367,4028,'byte_500'
'time_11',3660,3,4031,-4029,2,4026,4028,-367,3661,367,4028,-4028,0,'byte_6500'
'time_11',4031,2,2,4026,4028,-367,3661,367,4028,-4028,0,6285,6285,'byte_4000'
'time_11',2,-2257,4028,-367,3661,367,4028,-4028,0,6285,6285,-2624,3661,'byte_500'
'time_11',4028,0,3661,367,4028,-4028,0,6285,6285,-2624,3661,-3660,1,'byte_4500'
'time_11',3661,4027,4028,-4028,0,6285,6285,-2624,3661,-3660,1,4034,4035,'byte_4000'
'time_12',4028,-4035,0,6285,6285,-2624,3661,-3660,1,4034,4035,-380,3655,'byte_8500'
'time_12',0,2630,6285,-2624,3661,-3660,1,4034,4035,-380,3655,4399,8054,'byte_4000'
'time_12',6285,-4393,3661,-3660,1,4034,4035,-380,3655,4399,8054,-4390,3664,'byte_4500'
'time_12',3661,-3663,1,4034,4035,-380,3655,4399,8054,-4390,3664,364,4028,'byte_10000'
'time_12',1,7,4035,-380,3655,4399,8054,-4390,3664,364,4028,6958,10986,'byte_10000'
'time_12',4035,-7331,3655,4399,8054,-4390,3664,364,4028,6958,10986,5125,16111,'byte_4000'
'time_13',3655,-8057,8054,-4390,3664,364,4028,6958,10986,5125,16111,-12448,3663,'byte_4500'
'time_13',8054,1,3664,364,4028,6958,10986,5125,16111,-12448,3663,363,4026,'byte_7500'
'time_13',3664,2,4028,6958,10986,5125,16111,-12448,3663,363,4026,3286,7312,'byte_10000'
'time_13',4028,3674,10986,5125,16111,-12448,3663,363,4026,3286,7312,8811,16123,'byte_10000'
'time_13',10986,-12,16111,-12448,3663,363,4026,3286,7312,8811,16123,-1476,14647,'byte_8500'
'time_14',16111,-10984,3663,363,4026,3286,7312,8811,16123,-1476,14647,-6576,8071,'byte_7500'
'time_14',3663,-4045,4026,3286,7312,8811,16123,-1476,14647,-6576,8071,-749,7322,'byte_500'
'time_14',4026,-10,7312,8811,16123,-1476,14647,-6576,8071,-749,7322,-7320,2,'byte_500'
'time_14',7312,16121,16123,-1476,14647,-6576,8071,-749,7322,-7320,2,-2,0,'byte_8500'
'time_14',16123,14647,14647,-6576,8071,-749,7322,-7320,2,-2,0,8060,8060,'byte_4000'
'time_14',14647,11,8071,-749,7322,-7320,2,-2,0,8060,8060,-4402,3658,'byte_500'
'time_15',8071,3664,7322,-7320,2,-2,0,8060,8060,-4402,3658,-3658,0,'byte_10000'
'time_15',7322,2,2,-2,0,8060,8060,-4402,3658,-3658,0,10977,10977,'byte_8500'
'time_15',2,-10977,0,8060,8060,-4402,3658,-3658,0,10977,10977,-2899,8078,'byte_7500'
'time_15',0,-18,8060,-4402,3658,-3658,0,10977,10977,-2899,8078,-755,7323,'byte_500'
'time_15',8060,-3665,3658,-3658,0,10977,10977,-2899,8078,-755,7323,-7323,0,'byte_500'
'time_15',3658,0,0,10977,10977,-2899,8078,-755,7323,-7323,0,1,1,'byte_8500'
'time_16',0,10976,10977,-2899,8078,-755,7323,-7323,0,1,1,8057,8058,'byte_7500'
'time_16',10977,20,8078,-755,7323,-7323,0,1,1,8057,8058,-733,7325,'byte_10000'
'time_16',8078,-2,7323,-7323,0,1,1,8057,8058,-733,7325,4757,12082,'byte_7500'
'time_16',7323,-12082,0,1,1,8057,8058,-733,7325,4757,12082,-4758,7324,'byte_4500'
