@relation dataset_p2p_rnd5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',12083,3868,3868,-366,3502,4757,8259,12144,20403,-16740,3663,364,4027,'byte_500'
'time_0',3868,-525,3502,4757,8259,12144,20403,-16740,3663,364,4027,-2337,1690,'byte_4000'
'time_0',3502,6569,8259,12144,20403,-16740,3663,364,4027,-2337,1690,11421,13111,'byte_500'
'time_0',8259,7292,20403,-16740,3663,364,4027,-2337,1690,11421,13111,-13107,4,'byte_500'
'time_1',20403,3659,3663,364,4027,-2337,1690,11421,13111,-13107,4,18315,18319,'byte_4000'
'time_1',3663,-14292,4027,-2337,1690,11421,13111,-13107,4,18315,18319,-14288,4031,'byte_500'
'time_1',4027,-2341,1690,11421,13111,-13107,4,18315,18319,-14288,4031,-4029,2,'byte_500'
'time_1',1690,13109,13111,-13107,4,18315,18319,-14288,4031,-4029,2,3659,3661,'byte_1000'
'time_1',13111,-3657,4,18315,18319,-14288,4031,-4029,2,3659,3661,-3105,556,'byte_500'
'time_1',4,17763,18319,-14288,4031,-4029,2,3659,3661,-3105,556,2915,3471,'byte_500'
'time_2',18319,560,4031,-4029,2,3659,3661,-3105,556,2915,3471,-3469,2,'byte_500'
'time_2',4031,0,2,3659,3661,-3105,556,2915,3471,-3469,2,-2,0,'byte_500'
'time_2',2,3661,3661,-3105,556,2915,3471,-3469,2,-2,0,0,0,'byte_500'
'time_2',3661,556,556,2915,3471,-3469,2,-2,0,0,0,10578,10578,'byte_1000'
'time_2',556,-7107,3471,-3469,2,-2,0,0,0,10578,10578,-10578,0,'byte_3500'
'time_2',3471,2,2,-2,0,0,0,10578,10578,-10578,0,12084,12084,'byte_500'
'time_3',2,-12084,0,0,0,10578,10578,-10578,0,12084,12084,-12084,0,'byte_500'
'time_3',0,0,0,10578,10578,-10578,0,12084,12084,-12084,0,0,0,'byte_4500'
'time_3',0,10578,10578,-10578,0,12084,12084,-12084,0,0,0,0,0,'byte_500'
'time_3',10578,0,0,12084,12084,-12084,0,0,0,0,0,2,2,'byte_4500'
'time_3',0,12082,12084,-12084,0,0,0,0,0,2,2,4023,4025,'byte_4500'
'time_4',12084,-4025,0,0,0,0,0,2,2,4023,4025,-4021,4,'byte_500'
'time_4',0,-4,0,0,0,2,2,4023,4025,-4021,4,3654,3658,'byte_4500'
'time_4',0,-3658,0,2,2,4023,4025,-4021,4,3654,3658,-3658,0,'byte_500'
'time_4',0,2,2,4023,4025,-4021,4,3654,3658,-3658,0,0,0,'byte_4500'
'time_4',2,4025,4025,-4021,4,3654,3658,-3658,0,0,0,3661,3661,'byte_4000'
'time_4',4025,-3657,4,3654,3658,-3658,0,0,0,3661,3661,-3661,0,'byte_4500'
'time_5',4,3658,3658,-3658,0,0,0,3661,3661,-3661,0,0,0,'byte_4500'
'time_5',3658,0,0,0,0,3661,3661,-3661,0,0,0,913,913,'byte_4000'
'time_5',0,-913,0,3661,3661,-3661,0,0,0,913,913,-913,0,'byte_4500'
'time_5',0,3661,3661,-3661,0,0,0,913,913,-913,0,0,0,'byte_500'
'time_5',3661,0,0,0,0,913,913,-913,0,0,0,0,0,'byte_4500'
